Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
495.15	86.500	229.42	0.0043588	15.407	21.456	66.784	39.831	54.009	975.67	-0.27249	3.1644e-05	0.11416	supercritical
496.65	86.500	228.88	0.0043692	15.474	21.537	66.947	39.911	54.066	975.14	-0.27211	3.1613e-05	0.11427	supercritical
498.15	86.500	228.33	0.0043796	15.541	21.618	67.110	39.992	54.123	974.62	-0.27172	3.1582e-05	0.11437	supercritical
499.65	86.500	227.79	0.0043900	15.607	21.699	67.273	40.073	54.181	974.11	-0.27135	3.1552e-05	0.11448	supercritical
501.15	86.500	227.25	0.0044005	15.674	21.781	67.435	40.153	54.238	973.61	-0.27098	3.1522e-05	0.11459	supercritical
502.65	86.500	226.71	0.0044109	15.741	21.862	67.598	40.234	54.296	973.12	-0.27062	3.1493e-05	0.11470	supercritical
504.15	86.500	226.18	0.0044213	15.808	21.944	67.760	40.315	54.353	972.64	-0.27026	3.1464e-05	0.11481	supercritical
505.65	86.500	225.64	0.0044318	15.875	22.025	67.921	40.396	54.411	972.17	-0.26991	3.1436e-05	0.11493	supercritical
507.15	86.500	225.11	0.0044422	15.942	22.107	68.082	40.477	54.469	971.71	-0.26956	3.1408e-05	0.11504	supercritical
508.65	86.500	224.59	0.0044526	16.010	22.189	68.243	40.559	54.528	971.26	-0.26923	3.1381e-05	0.11516	supercritical
510.15	86.500	224.06	0.0044631	16.077	22.270	68.404	40.640	54.586	970.81	-0.26890	3.1354e-05	0.11528	supercritical
511.65	86.500	223.54	0.0044735	16.144	22.352	68.564	40.721	54.644	970.37	-0.26857	3.1327e-05	0.11540	supercritical
513.15	86.500	223.02	0.0044839	16.212	22.434	68.724	40.802	54.703	969.95	-0.26825	3.1302e-05	0.11552	supercritical
514.65	86.500	222.50	0.0044944	16.280	22.516	68.884	40.884	54.762	969.53	-0.26793	3.1276e-05	0.11565	supercritical
516.15	86.500	221.99	0.0045048	16.347	22.599	69.044	40.965	54.821	969.12	-0.26763	3.1251e-05	0.11577	supercritical
517.65	86.500	221.47	0.0045152	16.415	22.681	69.203	41.047	54.880	968.72	-0.26732	3.1226e-05	0.11590	supercritical
519.15	86.500	220.96	0.0045257	16.483	22.763	69.362	41.128	54.939	968.32	-0.26703	3.1202e-05	0.11603	supercritical
520.65	86.500	220.45	0.0045361	16.551	22.846	69.520	41.210	54.998	967.94	-0.26673	3.1178e-05	0.11616	supercritical
522.15	86.500	219.95	0.0045465	16.619	22.928	69.679	41.291	55.058	967.56	-0.26645	3.1155e-05	0.11630	supercritical
523.65	86.500	219.44	0.0045570	16.687	23.011	69.837	41.373	55.118	967.19	-0.26617	3.1132e-05	0.11643	supercritical
525.15	86.500	218.94	0.0045674	16.755	23.094	69.994	41.454	55.177	966.83	-0.26589	3.1110e-05	0.11657	supercritical
526.65	86.500	218.44	0.0045778	16.824	23.176	70.152	41.536	55.237	966.48	-0.26562	3.1088e-05	0.11670	supercritical
528.15	86.500	217.95	0.0045883	16.892	23.259	70.309	41.618	55.297	966.13	-0.26535	3.1066e-05	0.11684	supercritical
529.65	86.500	217.45	0.0045987	16.961	23.342	70.466	41.700	55.357	965.79	-0.26509	3.1045e-05	0.11698	supercritical
531.15	86.500	216.96	0.0046091	17.029	23.425	70.623	41.781	55.417	965.46	-0.26484	3.1024e-05	0.11713	supercritical
532.65	86.500	216.47	0.0046196	17.098	23.509	70.779	41.863	55.478	965.14	-0.26459	3.1004e-05	0.11727	supercritical
534.15	86.500	215.98	0.0046300	17.167	23.592	70.935	41.945	55.538	964.82	-0.26434	3.0983e-05	0.11741	supercritical
535.65	86.500	215.50	0.0046404	17.236	23.675	71.091	42.027	55.599	964.51	-0.26410	3.0964e-05	0.11756	supercritical
537.15	86.500	215.01	0.0046509	17.305	23.759	71.246	42.109	55.660	964.21	-0.26386	3.0944e-05	0.11771	supercritical
538.65	86.500	214.53	0.0046613	17.374	23.842	71.402	42.191	55.720	963.92	-0.26363	3.0926e-05	0.11786	supercritical
540.15	86.500	214.05	0.0046717	17.443	23.926	71.557	42.273	55.781	963.63	-0.26340	3.0907e-05	0.11801	supercritical
541.65	86.500	213.58	0.0046821	17.512	24.010	71.711	42.355	55.842	963.35	-0.26318	3.0889e-05	0.11816	supercritical
543.15	86.500	213.10	0.0046926	17.581	24.093	71.866	42.437	55.904	963.08	-0.26296	3.0871e-05	0.11831	supercritical
544.65	86.500	212.63	0.0047030	17.651	24.177	72.020	42.518	55.965	962.81	-0.26275	3.0853e-05	0.11847	supercritical
546.15	86.500	212.16	0.0047134	17.720	24.261	72.174	42.600	56.026	962.55	-0.26254	3.0836e-05	0.11863	supercritical
547.65	86.500	211.69	0.0047239	17.790	24.345	72.328	42.682	56.088	962.30	-0.26234	3.0820e-05	0.11878	supercritical
549.15	86.500	211.23	0.0047343	17.860	24.430	72.482	42.764	56.149	962.05	-0.26213	3.0803e-05	0.11894	supercritical
550.65	86.500	210.76	0.0047447	17.930	24.514	72.635	42.847	56.211	961.81	-0.26194	3.0787e-05	0.11910	supercritical
552.15	86.500	210.30	0.0047551	17.999	24.598	72.788	42.929	56.273	961.58	-0.26174	3.0771e-05	0.11926	supercritical
553.65	86.500	209.84	0.0047656	18.069	24.683	72.941	43.011	56.335	961.35	-0.26156	3.0756e-05	0.11943	supercritical
555.15	86.500	209.38	0.0047760	18.140	24.767	73.093	43.093	56.397	961.13	-0.26137	3.0741e-05	0.11959	supercritical
556.65	86.500	208.93	0.0047864	18.210	24.852	73.245	43.175	56.459	960.91	-0.26119	3.0726e-05	0.11976	supercritical
558.15	86.500	208.47	0.0047968	18.280	24.937	73.397	43.257	56.521	960.71	-0.26101	3.0712e-05	0.11993	supercritical
559.65	86.500	208.02	0.0048072	18.350	25.021	73.549	43.339	56.583	960.50	-0.26084	3.0698e-05	0.12009	supercritical
561.15	86.500	207.57	0.0048177	18.421	25.106	73.701	43.421	56.646	960.31	-0.26067	3.0684e-05	0.12026	supercritical
562.65	86.500	207.12	0.0048281	18.491	25.191	73.852	43.503	56.708	960.12	-0.26050	3.0670e-05	0.12043	supercritical
564.15	86.500	206.68	0.0048385	18.562	25.276	74.003	43.585	56.771	959.93	-0.26034	3.0657e-05	0.12061	supercritical
565.65	86.500	206.23	0.0048489	18.633	25.362	74.154	43.667	56.834	959.75	-0.26018	3.0644e-05	0.12078	supercritical
567.15	86.500	205.79	0.0048593	18.704	25.447	74.304	43.749	56.896	959.58	-0.26003	3.0632e-05	0.12095	supercritical
568.65	86.500	205.35	0.0048697	18.775	25.532	74.455	43.831	56.959	959.41	-0.25987	3.0619e-05	0.12113	supercritical
570.15	86.500	204.91	0.0048801	18.846	25.618	74.605	43.913	57.022	959.25	-0.25973	3.0607e-05	0.12131	supercritical
571.65	86.500	204.48	0.0048906	18.917	25.703	74.755	43.995	57.085	959.10	-0.25958	3.0596e-05	0.12148	supercritical
573.15	86.500	204.04	0.0049010	18.988	25.789	74.904	44.077	57.148	958.95	-0.25944	3.0584e-05	0.12166	supercritical
574.65	86.500	203.61	0.0049114	19.059	25.875	75.054	44.159	57.211	958.80	-0.25930	3.0573e-05	0.12184	supercritical
576.15	86.500	203.18	0.0049218	19.131	25.961	75.203	44.241	57.275	958.66	-0.25916	3.0563e-05	0.12202	supercritical
577.65	86.500	202.75	0.0049322	19.202	26.047	75.352	44.323	57.338	958.53	-0.25903	3.0552e-05	0.12221	supercritical
579.15	86.500	202.32	0.0049426	19.274	26.133	75.501	44.405	57.401	958.40	-0.25890	3.0542e-05	0.12239	supercritical
580.65	86.500	201.90	0.0049530	19.346	26.219	75.649	44.487	57.465	958.27	-0.25878	3.0532e-05	0.12258	supercritical
582.15	86.500	201.48	0.0049634	19.417	26.305	75.798	44.569	57.528	958.16	-0.25865	3.0522e-05	0.12276	supercritical
583.65	86.500	201.05	0.0049738	19.489	26.391	75.946	44.651	57.592	958.04	-0.25853	3.0513e-05	0.12295	supercritical
585.15	86.500	200.63	0.0049842	19.561	26.478	76.094	44.733	57.656	957.93	-0.25841	3.0504e-05	0.12314	supercritical
586.65	86.500	200.22	0.0049946	19.633	26.564	76.242	44.815	57.719	957.83	-0.25830	3.0495e-05	0.12333	supercritical
588.15	86.500	199.80	0.0050050	19.706	26.651	76.389	44.896	57.783	957.73	-0.25819	3.0486e-05	0.12352	supercritical
589.65	86.500	199.39	0.0050154	19.778	26.738	76.536	44.978	57.847	957.64	-0.25808	3.0478e-05	0.12371	supercritical
591.15	86.500	198.98	0.0050257	19.850	26.825	76.683	45.060	57.911	957.55	-0.25797	3.0469e-05	0.12390	supercritical
592.65	86.500	198.56	0.0050361	19.923	26.911	76.830	45.142	57.975	957.47	-0.25787	3.0462e-05	0.12409	supercritical
594.15	86.500	198.16	0.0050465	19.995	26.998	76.977	45.224	58.039	957.39	-0.25777	3.0454e-05	0.12429	supercritical
595.65	86.500	197.75	0.0050569	20.068	27.086	77.123	45.305	58.103	957.31	-0.25767	3.0447e-05	0.12448	supercritical
597.15	86.500	197.34	0.0050673	20.141	27.173	77.269	45.387	58.168	957.24	-0.25757	3.0439e-05	0.12468	supercritical
598.65	86.500	196.94	0.0050777	20.214	27.260	77.415	45.469	58.232	957.18	-0.25748	3.0433e-05	0.12488	supercritical
600.15	86.500	196.54	0.0050881	20.287	27.347	77.561	45.550	58.296	957.12	-0.25739	3.0426e-05	0.12507	supercritical
465.15	95.000	252.38	0.0039622	13.950	19.988	62.547	38.387	52.827	1035.9	-0.32154	3.3794e-05	0.11686	supercritical
466.65	95.000	251.79	0.0039716	14.015	20.068	62.717	38.465	52.883	1035.0	-0.32093	3.3746e-05	0.11690	supercritical
468.15	95.000	251.20	0.0039810	14.080	20.147	62.887	38.544	52.939	1034.2	-0.32034	3.3699e-05	0.11695	supercritical
469.65	95.000	250.61	0.0039903	14.145	20.226	63.056	38.622	52.995	1033.3	-0.31975	3.3653e-05	0.11701	supercritical
471.15	95.000	250.02	0.0039997	14.210	20.306	63.225	38.701	53.051	1032.5	-0.31917	3.3607e-05	0.11706	supercritical
472.65	95.000	249.43	0.0040091	14.275	20.386	63.394	38.779	53.107	1031.7	-0.31859	3.3563e-05	0.11712	supercritical
474.15	95.000	248.85	0.0040185	14.341	20.465	63.563	38.858	53.163	1030.9	-0.31802	3.3518e-05	0.11718	supercritical
475.65	95.000	248.27	0.0040278	14.406	20.545	63.731	38.937	53.220	1030.2	-0.31746	3.3475e-05	0.11724	supercritical
477.15	95.000	247.70	0.0040372	14.472	20.625	63.898	39.016	53.277	1029.4	-0.31690	3.3432e-05	0.11730	supercritical
478.65	95.000	247.12	0.0040466	14.538	20.705	64.066	39.095	53.334	1028.6	-0.31636	3.3389e-05	0.11737	supercritical
480.15	95.000	246.55	0.0040560	14.603	20.785	64.233	39.174	53.391	1027.9	-0.31581	3.3348e-05	0.11744	supercritical
481.65	95.000	245.98	0.0040654	14.669	20.865	64.399	39.254	53.448	1027.1	-0.31528	3.3307e-05	0.11751	supercritical
483.15	95.000	245.41	0.0040748	14.735	20.945	64.565	39.333	53.506	1026.4	-0.31475	3.3266e-05	0.11758	supercritical
484.65	95.000	244.85	0.0040842	14.801	21.026	64.731	39.412	53.563	1025.7	-0.31422	3.3226e-05	0.11765	supercritical
486.15	95.000	244.29	0.0040936	14.867	21.106	64.897	39.492	53.621	1025.0	-0.31371	3.3187e-05	0.11773	supercritical
487.65	95.000	243.73	0.0041029	14.933	21.186	65.062	39.572	53.679	1024.3	-0.31319	3.3148e-05	0.11781	supercritical
489.15	95.000	243.17	0.0041123	15.000	21.267	65.227	39.652	53.737	1023.6	-0.31269	3.3110e-05	0.11789	supercritical
490.65	95.000	242.62	0.0041217	15.066	21.348	65.392	39.731	53.795	1023.0	-0.31219	3.3072e-05	0.11797	supercritical
492.15	95.000	242.06	0.0041311	15.132	21.428	65.556	39.811	53.854	1022.3	-0.31170	3.3035e-05	0.11806	supercritical
493.65	95.000	241.51	0.0041406	15.199	21.509	65.720	39.892	53.912	1021.6	-0.31121	3.2999e-05	0.11815	supercritical
495.15	95.000	240.97	0.0041500	15.265	21.590	65.884	39.972	53.971	1021.0	-0.31073	3.2963e-05	0.11824	supercritical
496.65	95.000	240.42	0.0041594	15.332	21.671	66.047	40.052	54.030	1020.4	-0.31025	3.2927e-05	0.11833	supercritical
498.15	95.000	239.88	0.0041688	15.399	21.752	66.210	40.132	54.089	1019.7	-0.30978	3.2893e-05	0.11842	supercritical
499.65	95.000	239.34	0.0041782	15.466	21.833	66.373	40.213	54.148	1019.1	-0.30932	3.2858e-05	0.11852	supercritical
501.15	95.000	238.80	0.0041876	15.533	21.915	66.535	40.293	54.207	1018.5	-0.30886	3.2824e-05	0.11861	supercritical
502.65	95.000	238.27	0.0041970	15.600	21.996	66.697	40.373	54.267	1017.9	-0.30841	3.2791e-05	0.11871	supercritical
504.15	95.000	237.73	0.0042064	15.667	22.077	66.859	40.454	54.326	1017.4	-0.30796	3.2758e-05	0.11881	supercritical
505.65	95.000	237.20	0.0042158	15.734	22.159	67.021	40.535	54.386	1016.8	-0.30752	3.2726e-05	0.11891	supercritical
507.15	95.000	236.67	0.0042252	15.801	22.241	67.182	40.615	54.446	1016.2	-0.30709	3.2694e-05	0.11902	supercritical
508.65	95.000	236.15	0.0042347	15.868	22.322	67.343	40.696	54.506	1015.7	-0.30666	3.2663e-05	0.11912	supercritical
510.15	95.000	235.62	0.0042441	15.936	22.404	67.503	40.777	54.566	1015.1	-0.30623	3.2632e-05	0.11923	supercritical
511.65	95.000	235.10	0.0042535	16.003	22.486	67.664	40.858	54.626	1014.6	-0.30581	3.2602e-05	0.11934	supercritical
513.15	95.000	234.58	0.0042629	16.071	22.568	67.824	40.939	54.686	1014.1	-0.30540	3.2572e-05	0.11945	supercritical
514.65	95.000	234.06	0.0042723	16.139	22.650	67.983	41.020	54.747	1013.5	-0.30499	3.2543e-05	0.11957	supercritical
516.15	95.000	233.55	0.0042817	16.207	22.732	68.143	41.101	54.807	1013.0	-0.30458	3.2514e-05	0.11968	supercritical
517.65	95.000	233.04	0.0042912	16.275	22.815	68.302	41.182	54.868	1012.5	-0.30418	3.2485e-05	0.11980	supercritical
519.15	95.000	232.53	0.0043006	16.343	22.897	68.461	41.263	54.929	1012.0	-0.30379	3.2457e-05	0.11992	supercritical
520.65	95.000	232.02	0.0043100	16.411	22.979	68.619	41.344	54.990	1011.5	-0.30340	3.2430e-05	0.12004	supercritical
522.15	95.000	231.51	0.0043194	16.479	23.062	68.778	41.425	55.051	1011.1	-0.30301	3.2403e-05	0.12016	supercritical
523.65	95.000	231.01	0.0043288	16.547	23.144	68.936	41.506	55.112	1010.6	-0.30263	3.2376e-05	0.12028	supercritical
525.15	95.000	230.51	0.0043383	16.615	23.227	69.093	41.588	55.173	1010.1	-0.30226	3.2350e-05	0.12041	supercritical
526.65	95.000	230.01	0.0043477	16.684	23.310	69.251	41.669	55.234	1009.7	-0.30189	3.2324e-05	0.12053	supercritical
528.15	95.000	229.51	0.0043571	16.752	23.393	69.408	41.750	55.296	1009.2	-0.30152	3.2298e-05	0.12066	supercritical
529.65	95.000	229.01	0.0043665	16.821	23.476	69.565	41.832	55.358	1008.8	-0.30116	3.2274e-05	0.12079	supercritical
531.15	95.000	228.52	0.0043760	16.890	23.559	69.721	41.913	55.419	1008.4	-0.30081	3.2249e-05	0.12092	supercritical
532.65	95.000	228.03	0.0043854	16.959	23.642	69.878	41.995	55.481	1008.0	-0.30045	3.2225e-05	0.12105	supercritical
534.15	95.000	227.54	0.0043948	17.027	23.725	70.034	42.076	55.543	1007.5	-0.30011	3.2201e-05	0.12119	supercritical
535.65	95.000	227.05	0.0044042	17.096	23.809	70.190	42.158	55.605	1007.1	-0.29976	3.2178e-05	0.12133	supercritical
537.15	95.000	226.57	0.0044137	17.166	23.892	70.345	42.239	55.667	1006.7	-0.29942	3.2155e-05	0.12146	supercritical
538.65	95.000	226.09	0.0044231	17.235	23.976	70.501	42.321	55.729	1006.4	-0.29909	3.2132e-05	0.12160	supercritical
540.15	95.000	225.61	0.0044325	17.304	24.059	70.656	42.402	55.792	1006.0	-0.29876	3.2110e-05	0.12174	supercritical
541.65	95.000	225.13	0.0044419	17.373	24.143	70.811	42.484	55.854	1005.6	-0.29843	3.2088e-05	0.12188	supercritical
543.15	95.000	224.65	0.0044513	17.443	24.227	70.965	42.565	55.916	1005.2	-0.29811	3.2067e-05	0.12203	supercritical
544.65	95.000	224.18	0.0044608	17.512	24.311	71.119	42.647	55.979	1004.9	-0.29779	3.2046e-05	0.12217	supercritical
546.15	95.000	223.70	0.0044702	17.582	24.395	71.273	42.729	56.042	1004.5	-0.29748	3.2025e-05	0.12232	supercritical
547.65	95.000	223.23	0.0044796	17.652	24.479	71.427	42.810	56.105	1004.2	-0.29717	3.2005e-05	0.12247	supercritical
549.15	95.000	222.76	0.0044890	17.722	24.563	71.581	42.892	56.167	1003.8	-0.29687	3.1985e-05	0.12261	supercritical
550.65	95.000	222.30	0.0044985	17.792	24.648	71.734	42.974	56.230	1003.5	-0.29656	3.1965e-05	0.12277	supercritical
552.15	95.000	221.83	0.0045079	17.862	24.732	71.887	43.055	56.293	1003.2	-0.29627	3.1946e-05	0.12292	supercritical
553.65	95.000	221.37	0.0045173	17.932	24.816	72.040	43.137	56.357	1002.9	-0.29597	3.1927e-05	0.12307	supercritical
555.15	95.000	220.91	0.0045267	18.002	24.901	72.193	43.219	56.420	1002.5	-0.29568	3.1909e-05	0.12322	supercritical
556.65	95.000	220.45	0.0045361	18.072	24.986	72.345	43.300	56.483	1002.2	-0.29540	3.1891e-05	0.12338	supercritical
558.15	95.000	219.99	0.0045456	18.143	25.070	72.497	43.382	56.546	1001.9	-0.29511	3.1873e-05	0.12354	supercritical
559.65	95.000	219.54	0.0045550	18.213	25.155	72.649	43.464	56.610	1001.6	-0.29483	3.1855e-05	0.12370	supercritical
561.15	95.000	219.09	0.0045644	18.284	25.240	72.800	43.545	56.673	1001.4	-0.29456	3.1838e-05	0.12386	supercritical
562.65	95.000	218.64	0.0045738	18.354	25.325	72.952	43.627	56.737	1001.1	-0.29429	3.1821e-05	0.12402	supercritical
564.15	95.000	218.19	0.0045832	18.425	25.410	73.103	43.709	56.801	1000.8	-0.29402	3.1805e-05	0.12418	supercritical
565.65	95.000	217.74	0.0045927	18.496	25.496	73.254	43.790	56.864	1000.5	-0.29375	3.1788e-05	0.12434	supercritical
567.15	95.000	217.29	0.0046021	18.567	25.581	73.404	43.872	56.928	1000.3	-0.29349	3.1773e-05	0.12451	supercritical
568.65	95.000	216.85	0.0046115	18.638	25.666	73.555	43.954	56.992	1000.0	-0.29323	3.1757e-05	0.12467	supercritical
570.15	95.000	216.41	0.0046209	18.709	25.752	73.705	44.035	57.056	999.76	-0.29298	3.1742e-05	0.12484	supercritical
571.65	95.000	215.97	0.0046303	18.781	25.838	73.855	44.117	57.120	999.52	-0.29273	3.1727e-05	0.12501	supercritical
573.15	95.000	215.53	0.0046397	18.852	25.923	74.005	44.199	57.184	999.28	-0.29248	3.1712e-05	0.12518	supercritical
574.65	95.000	215.09	0.0046492	18.924	26.009	74.154	44.280	57.248	999.05	-0.29223	3.1698e-05	0.12535	supercritical
576.15	95.000	214.66	0.0046586	18.995	26.095	74.304	44.362	57.313	998.82	-0.29199	3.1684e-05	0.12552	supercritical
577.65	95.000	214.23	0.0046680	19.067	26.181	74.453	44.444	57.377	998.60	-0.29175	3.1670e-05	0.12570	supercritical
579.15	95.000	213.79	0.0046774	19.139	26.267	74.602	44.525	57.441	998.38	-0.29152	3.1657e-05	0.12587	supercritical
580.65	95.000	213.36	0.0046868	19.210	26.353	74.750	44.607	57.506	998.17	-0.29128	3.1643e-05	0.12605	supercritical
582.15	95.000	212.94	0.0046962	19.282	26.440	74.899	44.688	57.570	997.97	-0.29105	3.1631e-05	0.12622	supercritical
583.65	95.000	212.51	0.0047056	19.355	26.526	75.047	44.770	57.635	997.77	-0.29083	3.1618e-05	0.12640	supercritical
585.15	95.000	212.09	0.0047150	19.427	26.613	75.195	44.851	57.699	997.58	-0.29060	3.1606e-05	0.12658	supercritical
586.65	95.000	211.67	0.0047244	19.499	26.699	75.343	44.933	57.764	997.39	-0.29038	3.1594e-05	0.12676	supercritical
588.15	95.000	211.24	0.0047338	19.571	26.786	75.491	45.014	57.829	997.21	-0.29016	3.1582e-05	0.12694	supercritical
589.65	95.000	210.83	0.0047433	19.644	26.873	75.638	45.096	57.894	997.03	-0.28995	3.1570e-05	0.12713	supercritical
591.15	95.000	210.41	0.0047527	19.716	26.960	75.785	45.177	57.958	996.86	-0.28974	3.1559e-05	0.12731	supercritical
592.65	95.000	209.99	0.0047621	19.789	27.047	75.932	45.259	58.023	996.69	-0.28953	3.1548e-05	0.12749	supercritical
594.15	95.000	209.58	0.0047715	19.862	27.134	76.079	45.340	58.088	996.53	-0.28932	3.1537e-05	0.12768	supercritical
595.65	95.000	209.17	0.0047809	19.935	27.221	76.225	45.422	58.153	996.37	-0.28911	3.1527e-05	0.12787	supercritical
597.15	95.000	208.76	0.0047903	20.008	27.308	76.372	45.503	58.218	996.22	-0.28891	3.1517e-05	0.12805	supercritical
598.65	95.000	208.35	0.0047997	20.081	27.396	76.518	45.584	58.283	996.07	-0.28871	3.1507e-05	0.12824	supercritical
600.15	95.000	207.94	0.0048091	20.154	27.483	76.664	45.666	58.349	995.93	-0.28852	3.1497e-05	0.12843	supercritical
465.15	100.00	258.62	0.0038666	13.873	20.076	62.060	38.473	52.780	1063.0	-0.34116	3.4587e-05	0.11936	supercritical
466.65	100.00	258.03	0.0038755	13.938	20.155	62.230	38.551	52.837	1062.0	-0.34054	3.4537e-05	0.11940	supercritical
468.15	100.00	257.44	0.0038843	14.003	20.234	62.400	38.629	52.894	1061.2	-0.33992	3.4488e-05	0.11944	supercritical
469.65	100.00	256.86	0.0038932	14.068	20.314	62.569	38.707	52.951	1060.3	-0.33930	3.4439e-05	0.11948	supercritical
471.15	100.00	256.27	0.0039021	14.133	20.393	62.738	38.785	53.008	1059.4	-0.33869	3.4391e-05	0.11953	supercritical
472.65	100.00	255.69	0.0039109	14.199	20.473	62.907	38.864	53.065	1058.5	-0.33809	3.4344e-05	0.11958	supercritical
474.15	100.00	255.12	0.0039198	14.264	20.552	63.075	38.942	53.123	1057.7	-0.33749	3.4298e-05	0.11963	supercritical
475.65	100.00	254.54	0.0039287	14.329	20.632	63.243	39.021	53.181	1056.9	-0.33690	3.4252e-05	0.11969	supercritical
477.15	100.00	253.97	0.0039375	14.395	20.712	63.410	39.100	53.239	1056.0	-0.33632	3.4206e-05	0.11974	supercritical
478.65	100.00	253.40	0.0039464	14.461	20.792	63.578	39.178	53.297	1055.2	-0.33574	3.4162e-05	0.11980	supercritical
480.15	100.00	252.83	0.0039553	14.527	20.872	63.744	39.257	53.355	1054.4	-0.33517	3.4118e-05	0.11986	supercritical
481.65	100.00	252.26	0.0039641	14.592	20.952	63.911	39.337	53.413	1053.6	-0.33460	3.4074e-05	0.11993	supercritical
483.15	100.00	251.70	0.0039730	14.658	21.032	64.077	39.416	53.472	1052.8	-0.33404	3.4031e-05	0.11999	supercritical
484.65	100.00	251.14	0.0039819	14.724	21.112	64.243	39.495	53.530	1052.1	-0.33348	3.3989e-05	0.12006	supercritical
486.15	100.00	250.58	0.0039908	14.790	21.193	64.409	39.574	53.589	1051.3	-0.33293	3.3947e-05	0.12013	supercritical
487.65	100.00	250.02	0.0039997	14.857	21.273	64.574	39.654	53.648	1050.6	-0.33239	3.3906e-05	0.12020	supercritical
489.15	100.00	249.47	0.0040085	14.923	21.354	64.739	39.734	53.707	1049.8	-0.33185	3.3866e-05	0.12027	supercritical
490.65	100.00	248.92	0.0040174	14.989	21.434	64.903	39.813	53.766	1049.1	-0.33132	3.3826e-05	0.12035	supercritical
492.15	100.00	248.37	0.0040263	15.056	21.515	65.067	39.893	53.826	1048.4	-0.33079	3.3787e-05	0.12043	supercritical
493.65	100.00	247.82	0.0040352	15.122	21.596	65.231	39.973	53.885	1047.7	-0.33027	3.3748e-05	0.12051	supercritical
495.15	100.00	247.27	0.0040441	15.189	21.677	65.395	40.053	53.945	1047.0	-0.32975	3.3710e-05	0.12059	supercritical
496.65	100.00	246.73	0.0040530	15.255	21.758	65.558	40.133	54.005	1046.3	-0.32924	3.3672e-05	0.12067	supercritical
498.15	100.00	246.19	0.0040619	15.322	21.839	65.721	40.213	54.065	1045.6	-0.32873	3.3635e-05	0.12076	supercritical
499.65	100.00	245.65	0.0040708	15.389	21.920	65.884	40.293	54.125	1045.0	-0.32823	3.3599e-05	0.12085	supercritical
501.15	100.00	245.12	0.0040797	15.456	22.001	66.046	40.373	54.185	1044.3	-0.32773	3.3563e-05	0.12094	supercritical
502.65	100.00	244.58	0.0040886	15.523	22.082	66.208	40.453	54.245	1043.7	-0.32724	3.3527e-05	0.12103	supercritical
504.15	100.00	244.05	0.0040975	15.590	22.164	66.370	40.534	54.306	1043.0	-0.32676	3.3492e-05	0.12112	supercritical
505.65	100.00	243.52	0.0041064	15.657	22.245	66.531	40.614	54.366	1042.4	-0.32628	3.3458e-05	0.12122	supercritical
507.15	100.00	243.00	0.0041153	15.725	22.327	66.692	40.695	54.427	1041.8	-0.32580	3.3424e-05	0.12132	supercritical
508.65	100.00	242.47	0.0041242	15.792	22.408	66.853	40.775	54.488	1041.2	-0.32533	3.3390e-05	0.12142	supercritical
510.15	100.00	241.95	0.0041331	15.860	22.490	67.014	40.856	54.549	1040.6	-0.32487	3.3357e-05	0.12152	supercritical
511.65	100.00	241.43	0.0041420	15.927	22.572	67.174	40.936	54.610	1040.0	-0.32441	3.3325e-05	0.12162	supercritical
513.15	100.00	240.91	0.0041509	15.995	22.654	67.334	41.017	54.671	1039.4	-0.32395	3.3293e-05	0.12172	supercritical
514.65	100.00	240.40	0.0041598	16.063	22.736	67.494	41.098	54.732	1038.8	-0.32350	3.3261e-05	0.12183	supercritical
516.15	100.00	239.88	0.0041687	16.131	22.818	67.653	41.179	54.794	1038.3	-0.32306	3.3230e-05	0.12194	supercritical
517.65	100.00	239.37	0.0041776	16.198	22.901	67.812	41.260	54.855	1037.7	-0.32261	3.3200e-05	0.12205	supercritical
519.15	100.00	238.86	0.0041865	16.266	22.983	67.971	41.341	54.917	1037.2	-0.32218	3.3170e-05	0.12216	supercritical
520.65	100.00	238.35	0.0041954	16.335	23.065	68.129	41.421	54.979	1036.6	-0.32175	3.3140e-05	0.12228	supercritical
522.15	100.00	237.85	0.0042044	16.403	23.148	68.288	41.502	55.040	1036.1	-0.32132	3.3111e-05	0.12239	supercritical
523.65	100.00	237.35	0.0042133	16.471	23.230	68.446	41.583	55.102	1035.6	-0.32090	3.3082e-05	0.12251	supercritical
525.15	100.00	236.84	0.0042222	16.540	23.313	68.603	41.665	55.165	1035.1	-0.32048	3.3054e-05	0.12263	supercritical
526.65	100.00	236.35	0.0042311	16.608	23.396	68.761	41.746	55.227	1034.6	-0.32006	3.3026e-05	0.12275	supercritical
528.15	100.00	235.85	0.0042400	16.677	23.479	68.918	41.827	55.289	1034.1	-0.31965	3.2999e-05	0.12287	supercritical
529.65	100.00	235.35	0.0042489	16.745	23.562	69.075	41.908	55.351	1033.6	-0.31925	3.2972e-05	0.12299	supercritical
531.15	100.00	234.86	0.0042578	16.814	23.645	69.231	41.989	55.414	1033.1	-0.31885	3.2945e-05	0.12312	supercritical
