Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (Pa*s)	Therm. Cond. (W/m*K)	Phase
513.15	63.500	185.28	0.0053973	16.685	22.183	71.751	40.413	54.604	845.08	-0.11621	2.7560e-05	0.10432	supercritical
514.65	63.500	184.78	0.0054119	16.752	22.265	71.911	40.495	54.657	845.01	-0.11646	2.7547e-05	0.10448	supercritical
516.15	63.500	184.28	0.0054265	16.819	22.347	72.070	40.578	54.710	844.94	-0.11671	2.7535e-05	0.10464	supercritical
517.65	63.500	183.79	0.0054411	16.886	22.429	72.229	40.660	54.764	844.88	-0.11697	2.7524e-05	0.10480	supercritical
519.15	63.500	183.29	0.0054557	16.953	22.511	72.387	40.743	54.817	844.83	-0.11723	2.7513e-05	0.10496	supercritical
520.65	63.500	182.80	0.0054703	17.021	22.594	72.546	40.826	54.871	844.79	-0.11750	2.7502e-05	0.10512	supercritical
522.15	63.500	182.32	0.0054849	17.088	22.676	72.704	40.909	54.926	844.75	-0.11778	2.7491e-05	0.10529	supercritical
523.65	63.500	181.83	0.0054995	17.156	22.758	72.861	40.991	54.980	844.71	-0.11806	2.7481e-05	0.10546	supercritical
525.15	63.500	181.35	0.0055141	17.224	22.841	73.019	41.074	55.035	844.69	-0.11835	2.7471e-05	0.10562	supercritical
526.65	63.500	180.87	0.0055287	17.291	22.923	73.176	41.157	55.089	844.67	-0.11864	2.7462e-05	0.10579	supercritical
528.15	63.500	180.40	0.0055433	17.359	23.006	73.332	41.240	55.144	844.65	-0.11894	2.7453e-05	0.10597	supercritical
529.65	63.500	179.92	0.0055579	17.427	23.089	73.489	41.323	55.200	844.65	-0.11924	2.7444e-05	0.10614	supercritical
531.15	63.500	179.45	0.0055725	17.495	23.172	73.645	41.406	55.255	844.64	-0.11955	2.7435e-05	0.10631	supercritical
532.65	63.500	178.99	0.0055870	17.563	23.255	73.801	41.489	55.311	844.65	-0.11986	2.7427e-05	0.10649	supercritical
534.15	63.500	178.52	0.0056016	17.631	23.338	73.957	41.572	55.367	844.66	-0.12018	2.7419e-05	0.10666	supercritical
535.65	63.500	178.06	0.0056162	17.699	23.421	74.112	41.655	55.423	844.67	-0.12050	2.7412e-05	0.10684	supercritical
537.15	63.500	177.60	0.0056307	17.768	23.504	74.267	41.738	55.479	844.69	-0.12083	2.7405e-05	0.10702	supercritical
538.65	63.500	177.14	0.0056453	17.836	23.587	74.422	41.821	55.535	844.72	-0.12116	2.7398e-05	0.10720	supercritical
540.15	63.500	176.68	0.0056598	17.905	23.671	74.576	41.904	55.592	844.75	-0.12150	2.7391e-05	0.10738	supercritical
541.65	63.500	176.23	0.0056744	17.973	23.754	74.731	41.987	55.649	844.79	-0.12184	2.7385e-05	0.10757	supercritical
543.15	63.500	175.78	0.0056889	18.042	23.837	74.885	42.070	55.706	844.83	-0.12218	2.7379e-05	0.10775	supercritical
544.65	63.500	175.33	0.0057034	18.111	23.921	75.038	42.154	55.763	844.87	-0.12252	2.7374e-05	0.10793	supercritical
546.15	63.500	174.89	0.0057180	18.180	24.005	75.192	42.237	55.820	844.93	-0.12288	2.7368e-05	0.10812	supercritical
547.65	63.500	174.44	0.0057325	18.249	24.089	75.345	42.320	55.877	844.98	-0.12323	2.7363e-05	0.10831	supercritical
549.15	63.500	174.00	0.0057470	18.318	24.172	75.498	42.403	55.935	845.05	-0.12359	2.7359e-05	0.10850	supercritical
550.65	63.500	173.56	0.0057616	18.387	24.256	75.650	42.486	55.993	845.11	-0.12395	2.7354e-05	0.10869	supercritical
552.15	63.500	173.13	0.0057761	18.456	24.340	75.803	42.569	56.051	845.19	-0.12431	2.7350e-05	0.10888	supercritical
553.65	63.500	172.69	0.0057906	18.526	24.424	75.955	42.653	56.109	845.26	-0.12468	2.7346e-05	0.10907	supercritical
555.15	63.500	172.26	0.0058051	18.595	24.509	76.107	42.736	56.168	845.34	-0.12505	2.7342e-05	0.10927	supercritical
556.65	63.500	171.83	0.0058196	18.664	24.593	76.258	42.819	56.226	845.43	-0.12542	2.7339e-05	0.10946	supercritical
558.15	63.500	171.41	0.0058341	18.734	24.677	76.410	42.902	56.285	845.52	-0.12580	2.7336e-05	0.10966	supercritical
559.65	63.500	170.98	0.0058486	18.804	24.762	76.561	42.985	56.344	845.62	-0.12618	2.7333e-05	0.10985	supercritical
561.15	63.500	170.56	0.0058631	18.874	24.846	76.712	43.069	56.402	845.72	-0.12656	2.7330e-05	0.11005	supercritical
562.65	63.500	170.14	0.0058775	18.944	24.931	76.863	43.152	56.462	845.82	-0.12694	2.7328e-05	0.11025	supercritical
564.15	63.500	169.72	0.0058920	19.014	25.016	77.013	43.235	56.521	845.93	-0.12733	2.7326e-05	0.11045	supercritical
565.65	63.500	169.31	0.0059065	19.084	25.101	77.163	43.318	56.580	846.04	-0.12772	2.7324e-05	0.11065	supercritical
567.15	63.500	168.89	0.0059209	19.154	25.186	77.313	43.401	56.640	846.16	-0.12811	2.7323e-05	0.11085	supercritical
568.65	63.500	168.48	0.0059354	19.224	25.271	77.463	43.484	56.700	846.28	-0.12850	2.7321e-05	0.11106	supercritical
570.15	63.500	168.07	0.0059499	19.294	25.356	77.612	43.568	56.759	846.40	-0.12890	2.7320e-05	0.11126	supercritical
571.65	63.500	167.66	0.0059643	19.365	25.441	77.761	43.651	56.819	846.53	-0.12929	2.7319e-05	0.11147	supercritical
573.15	63.500	167.26	0.0059788	19.435	25.526	77.910	43.734	56.880	846.67	-0.12969	2.7319e-05	0.11168	supercritical
574.65	63.500	166.86	0.0059932	19.506	25.611	78.059	43.817	56.940	846.80	-0.13009	2.7318e-05	0.11188	supercritical
576.15	63.500	166.45	0.0060076	19.577	25.697	78.208	43.900	57.000	846.94	-0.13050	2.7318e-05	0.11209	supercritical
577.65	63.500	166.06	0.0060221	19.648	25.782	78.356	43.983	57.061	847.09	-0.13090	2.7318e-05	0.11230	supercritical
579.15	63.500	165.66	0.0060365	19.719	25.868	78.504	44.066	57.121	847.24	-0.13131	2.7319e-05	0.11251	supercritical
580.65	63.500	165.26	0.0060509	19.790	25.954	78.652	44.149	57.182	847.39	-0.13171	2.7319e-05	0.11272	supercritical
582.15	63.500	164.87	0.0060653	19.861	26.040	78.799	44.232	57.243	847.55	-0.13212	2.7320e-05	0.11294	supercritical
583.65	63.500	164.48	0.0060797	19.932	26.126	78.947	44.315	57.304	847.71	-0.13253	2.7321e-05	0.11315	supercritical
585.15	63.500	164.09	0.0060941	20.003	26.212	79.094	44.398	57.365	847.87	-0.13294	2.7322e-05	0.11336	supercritical
586.65	63.500	163.71	0.0061085	20.075	26.298	79.241	44.481	57.427	848.04	-0.13336	2.7323e-05	0.11358	supercritical
588.15	63.500	163.32	0.0061229	20.146	26.384	79.388	44.564	57.488	848.21	-0.13377	2.7325e-05	0.11380	supercritical
589.65	63.500	162.94	0.0061373	20.218	26.470	79.534	44.647	57.549	848.38	-0.13419	2.7327e-05	0.11401	supercritical
591.15	63.500	162.56	0.0061517	20.290	26.556	79.680	44.730	57.611	848.56	-0.13460	2.7329e-05	0.11423	supercritical
592.65	63.500	162.18	0.0061661	20.361	26.643	79.826	44.813	57.673	848.74	-0.13502	2.7331e-05	0.11445	supercritical
594.15	63.500	161.80	0.0061805	20.433	26.730	79.972	44.896	57.735	848.92	-0.13544	2.7333e-05	0.11467	supercritical
595.65	63.500	161.42	0.0061948	20.505	26.816	80.118	44.978	57.797	849.11	-0.13586	2.7336e-05	0.11489	supercritical
597.15	63.500	161.05	0.0062092	20.577	26.903	80.263	45.061	57.859	849.30	-0.13628	2.7339e-05	0.11511	supercritical
598.65	63.500	160.68	0.0062236	20.650	26.990	80.409	45.144	57.921	849.49	-0.13670	2.7342e-05	0.11534	supercritical
600.15	63.500	160.31	0.0062379	20.722	27.077	80.554	45.227	57.983	849.69	-0.13712	2.7345e-05	0.11556	supercritical
465.15	73.500	220.92	0.0045266	14.347	19.685	65.023	38.001	53.011	912.51	-0.20019	3.0092e-05	0.10566	supercritical
466.65	73.500	220.31	0.0045390	14.412	19.764	65.194	38.081	53.060	911.97	-0.19984	3.0057e-05	0.10574	supercritical
468.15	73.500	219.71	0.0045515	14.477	19.844	65.364	38.160	53.109	911.43	-0.19950	3.0022e-05	0.10583	supercritical
469.65	73.500	219.11	0.0045640	14.542	19.924	65.534	38.239	53.158	910.91	-0.19917	2.9988e-05	0.10592	supercritical
471.15	73.500	218.51	0.0045764	14.607	20.003	65.704	38.319	53.208	910.41	-0.19885	2.9955e-05	0.10601	supercritical
472.65	73.500	217.92	0.0045889	14.672	20.083	65.873	38.399	53.258	909.91	-0.19854	2.9922e-05	0.10610	supercritical
474.15	73.500	217.33	0.0046014	14.738	20.163	66.042	38.478	53.308	909.42	-0.19825	2.9890e-05	0.10619	supercritical
475.65	73.500	216.74	0.0046139	14.803	20.243	66.210	38.558	53.358	908.95	-0.19796	2.9859e-05	0.10629	supercritical
477.15	73.500	216.15	0.0046263	14.868	20.323	66.379	38.638	53.408	908.48	-0.19768	2.9828e-05	0.10639	supercritical
478.65	73.500	215.57	0.0046388	14.934	20.403	66.546	38.719	53.459	908.03	-0.19741	2.9798e-05	0.10649	supercritical
480.15	73.500	214.99	0.0046513	14.999	20.484	66.714	38.799	53.510	907.58	-0.19716	2.9768e-05	0.10659	supercritical
481.65	73.500	214.42	0.0046638	15.065	20.564	66.881	38.879	53.561	907.15	-0.19691	2.9739e-05	0.10670	supercritical
483.15	73.500	213.85	0.0046762	15.130	20.644	67.047	38.960	53.613	906.72	-0.19667	2.9710e-05	0.10680	supercritical
484.65	73.500	213.28	0.0046887	15.196	20.725	67.213	39.040	53.665	906.31	-0.19644	2.9682e-05	0.10691	supercritical
486.15	73.500	212.71	0.0047012	15.262	20.805	67.379	39.121	53.716	905.91	-0.19622	2.9655e-05	0.10702	supercritical
487.65	73.500	212.15	0.0047137	15.328	20.886	67.545	39.202	53.769	905.51	-0.19601	2.9628e-05	0.10713	supercritical
489.15	73.500	211.59	0.0047262	15.394	20.967	67.710	39.282	53.821	905.13	-0.19581	2.9601e-05	0.10725	supercritical
490.65	73.500	211.03	0.0047386	15.460	21.047	67.875	39.363	53.873	904.75	-0.19562	2.9575e-05	0.10736	supercritical
492.15	73.500	210.48	0.0047511	15.526	21.128	68.040	39.444	53.926	904.39	-0.19543	2.9550e-05	0.10748	supercritical
