Temperature(K) Volume(A3) Pressure(MPa) dPressure Uconf(kcal/mol) dUconf Uconf2(kcal/mol)^2 dUconf2 rho(kg/m3) Cv_id(J/molK) Cv(J/molK) dCv
3.0015000000e+02 1.5252992000e+04 3.1195910350e+02 6.7979562403e-01 -3.7232038186e+02 2.7369957092e-01 1.3869745311e+05 2.0367481829e+02 4.4710028564e+02 2.7468487554e+01 3.4314139734e+01 2.6304297355e+01
6.0015000000e+02 1.5252992000e+04 6.4336972415e+02 1.2199139828e+00 -2.5948825803e+02 5.1733970571e-01 6.7602063978e+04 2.6909696466e+02 4.4710028564e+02 4.4185976193e+01 5.0303492916e+01 8.6800318815e+00
