Temperature(K) Volume(A3) Pressure(MPa) dPressure Uconf(kcal/mol) dUconf Uconf2(kcal/mol)^2 dUconf2 rho(kg/m3) Cv_id(J/molK) Cv(J/molK) dCv
3.0015000000e+02 1.5252992000e+04 3.1195910335e+02 6.8013540736e-01 -3.7232038193e+02 2.7383637100e-01 1.3869745316e+05 2.0377638678e+02 4.4710028564e+02 2.7468487554e+01 3.4314139146e+01 2.6317429762e+01
6.0015000000e+02 1.5252992000e+04 6.4336972430e+02 1.2205233444e+00 -2.5948825795e+02 5.1759821735e-01 6.7602063930e+04 2.6923147907e+02 4.4710028564e+02 4.4185976193e+01 5.0303492687e+01 8.6843700212e+00
