Temperature (K)	Pressure (MPa)	Quality (l+v)	Internal Energy (l+v, kJ/mol)	Enthalpy (l+v, kJ/mol)	Entropy (l+v, J/mol*K)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
462.32	497.41	undefined	12.298	30.147	46.615	447.10	0.0022366	12.298	30.147	46.615	42.593	52.550	2283.1	-0.50487	70.094	0.29257	447.10	0.0022366	12.298	30.147	46.615	42.593	52.550	2283.1	-0.50487	70.094	0.29257
464.07	499.27	undefined	12.373	30.288	46.776	447.10	0.0022366	12.373	30.288	46.776	42.689	52.633	2284.9	-0.50405	70.020	0.29293	447.10	0.0022366	12.373	30.288	46.776	42.689	52.633	2284.9	-0.50405	70.020	0.29293
465.82	501.13	undefined	12.448	30.429	46.937	447.10	0.0022366	12.448	30.429	46.937	42.784	52.716	2286.8	-0.50322	69.948	0.29329	447.10	0.0022366	12.448	30.429	46.937	42.784	52.716	2286.8	-0.50322	69.948	0.29329
467.57	502.99	undefined	12.523	30.571	47.097	447.10	0.0022366	12.523	30.571	47.097	42.879	52.800	2288.6	-0.50240	69.877	0.29365	447.10	0.0022366	12.523	30.571	47.097	42.879	52.800	2288.6	-0.50240	69.877	0.29365
469.32	504.84	undefined	12.598	30.713	47.258	447.10	0.0022366	12.598	30.713	47.258	42.975	52.883	2290.4	-0.50158	69.806	0.29401	447.10	0.0022366	12.598	30.713	47.258	42.975	52.883	2290.4	-0.50158	69.806	0.29401
471.07	506.69	undefined	12.673	30.854	47.418	447.10	0.0022366	12.673	30.854	47.418	43.071	52.967	2292.2	-0.50077	69.737	0.29438	447.10	0.0022366	12.673	30.854	47.418	43.071	52.967	2292.2	-0.50077	69.737	0.29438
472.82	508.54	undefined	12.748	30.996	47.578	447.10	0.0022366	12.748	30.996	47.578	43.166	53.051	2294.0	-0.49995	69.668	0.29474	447.10	0.0022366	12.748	30.996	47.578	43.166	53.051	2294.0	-0.49995	69.668	0.29474
474.56	510.39	undefined	12.824	31.138	47.737	447.10	0.0022366	12.824	31.138	47.737	43.262	53.135	2295.8	-0.49913	69.600	0.29510	447.10	0.0022366	12.824	31.138	47.737	43.262	53.135	2295.8	-0.49913	69.600	0.29510
476.31	512.23	undefined	12.900	31.280	47.897	447.10	0.0022366	12.900	31.280	47.897	43.358	53.219	2297.6	-0.49831	69.533	0.29547	447.10	0.0022366	12.900	31.280	47.897	43.358	53.219	2297.6	-0.49831	69.533	0.29547
478.06	514.07	undefined	12.976	31.422	48.056	447.10	0.0022366	12.976	31.422	48.056	43.454	53.304	2299.4	-0.49750	69.466	0.29583	447.10	0.0022366	12.976	31.422	48.056	43.454	53.304	2299.4	-0.49750	69.466	0.29583
479.81	515.91	undefined	13.052	31.564	48.215	447.10	0.0022366	13.052	31.564	48.215	43.550	53.388	2301.2	-0.49668	69.401	0.29620	447.10	0.0022366	13.052	31.564	48.215	43.550	53.388	2301.2	-0.49668	69.401	0.29620
481.56	517.75	undefined	13.128	31.706	48.373	447.10	0.0022366	13.128	31.706	48.373	43.646	53.473	2303.0	-0.49587	69.336	0.29656	447.10	0.0022366	13.128	31.706	48.373	43.646	53.473	2303.0	-0.49587	69.336	0.29656
483.31	519.58	undefined	13.205	31.848	48.532	447.10	0.0022366	13.205	31.848	48.532	43.742	53.558	2304.7	-0.49506	69.272	0.29693	447.10	0.0022366	13.205	31.848	48.532	43.742	53.558	2304.7	-0.49506	69.272	0.29693
485.06	521.42	undefined	13.281	31.991	48.690	447.10	0.0022366	13.281	31.991	48.690	43.839	53.642	2306.5	-0.49425	69.209	0.29729	447.10	0.0022366	13.281	31.991	48.690	43.839	53.642	2306.5	-0.49425	69.209	0.29729
486.81	523.24	undefined	13.358	32.133	48.848	447.10	0.0022366	13.358	32.133	48.848	43.935	53.727	2308.3	-0.49344	69.147	0.29766	447.10	0.0022366	13.358	32.133	48.848	43.935	53.727	2308.3	-0.49344	69.147	0.29766
488.56	525.07	undefined	13.435	32.275	49.006	447.10	0.0022366	13.435	32.275	49.006	44.031	53.813	2310.0	-0.49263	69.085	0.29802	447.10	0.0022366	13.435	32.275	49.006	44.031	53.813	2310.0	-0.49263	69.085	0.29802
490.31	526.90	undefined	13.512	32.418	49.163	447.10	0.0022366	13.512	32.418	49.163	44.128	53.898	2311.8	-0.49183	69.025	0.29839	447.10	0.0022366	13.512	32.418	49.163	44.128	53.898	2311.8	-0.49183	69.025	0.29839
492.06	528.72	undefined	13.589	32.561	49.320	447.10	0.0022366	13.589	32.561	49.320	44.224	53.983	2313.6	-0.49102	68.964	0.29876	447.10	0.0022366	13.589	32.561	49.320	44.224	53.983	2313.6	-0.49102	68.964	0.29876
493.81	530.54	undefined	13.667	32.703	49.478	447.10	0.0022366	13.667	32.703	49.478	44.321	54.069	2315.3	-0.49022	68.905	0.29913	447.10	0.0022366	13.667	32.703	49.478	44.321	54.069	2315.3	-0.49022	68.905	0.29913
495.56	532.35	undefined	13.744	32.846	49.634	447.10	0.0022366	13.744	32.846	49.634	44.417	54.155	2317.1	-0.48941	68.847	0.29949	447.10	0.0022366	13.744	32.846	49.634	44.417	54.155	2317.1	-0.48941	68.847	0.29949
497.30	534.17	undefined	13.822	32.989	49.791	447.10	0.0022366	13.822	32.989	49.791	44.514	54.240	2318.8	-0.48861	68.789	0.29986	447.10	0.0022366	13.822	32.989	49.791	44.514	54.240	2318.8	-0.48861	68.789	0.29986
499.05	535.98	undefined	13.900	33.132	49.948	447.10	0.0022366	13.900	33.132	49.948	44.611	54.326	2320.5	-0.48782	68.732	0.30023	447.10	0.0022366	13.900	33.132	49.948	44.611	54.326	2320.5	-0.48782	68.732	0.30023
500.80	537.79	undefined	13.978	33.275	50.104	447.10	0.0022366	13.978	33.275	50.104	44.707	54.412	2322.3	-0.48702	68.675	0.30060	447.10	0.0022366	13.978	33.275	50.104	44.707	54.412	2322.3	-0.48702	68.675	0.30060
502.55	539.60	undefined	14.056	33.418	50.260	447.10	0.0022366	14.056	33.418	50.260	44.804	54.498	2324.0	-0.48622	68.619	0.30097	447.10	0.0022366	14.056	33.418	50.260	44.804	54.498	2324.0	-0.48622	68.619	0.30097
504.30	541.41	undefined	14.135	33.562	50.416	447.10	0.0022366	14.135	33.562	50.416	44.901	54.584	2325.7	-0.48543	68.564	0.30134	447.10	0.0022366	14.135	33.562	50.416	44.901	54.584	2325.7	-0.48543	68.564	0.30134
506.05	543.21	undefined	14.214	33.705	50.571	447.10	0.0022366	14.214	33.705	50.571	44.997	54.670	2327.4	-0.48463	68.510	0.30171	447.10	0.0022366	14.214	33.705	50.571	44.997	54.670	2327.4	-0.48463	68.510	0.30171
507.80	545.01	undefined	14.292	33.848	50.727	447.10	0.0022366	14.292	33.848	50.727	45.094	54.757	2329.2	-0.48384	68.456	0.30208	447.10	0.0022366	14.292	33.848	50.727	45.094	54.757	2329.2	-0.48384	68.456	0.30208
509.55	546.81	undefined	14.371	33.992	50.882	447.10	0.0022366	14.371	33.992	50.882	45.191	54.843	2330.9	-0.48305	68.403	0.30245	447.10	0.0022366	14.371	33.992	50.882	45.191	54.843	2330.9	-0.48305	68.403	0.30245
511.30	548.61	undefined	14.450	34.136	51.037	447.10	0.0022366	14.450	34.136	51.037	45.288	54.929	2332.6	-0.48227	68.351	0.30283	447.10	0.0022366	14.450	34.136	51.037	45.288	54.929	2332.6	-0.48227	68.351	0.30283
513.05	550.40	undefined	14.530	34.279	51.192	447.10	0.0022366	14.530	34.279	51.192	45.385	55.016	2334.3	-0.48148	68.299	0.30320	447.10	0.0022366	14.530	34.279	51.192	45.385	55.016	2334.3	-0.48148	68.299	0.30320
514.80	552.20	undefined	14.609	34.423	51.347	447.10	0.0022366	14.609	34.423	51.347	45.482	55.103	2336.0	-0.48070	68.248	0.30357	447.10	0.0022366	14.609	34.423	51.347	45.482	55.103	2336.0	-0.48070	68.248	0.30357
516.55	553.99	undefined	14.689	34.567	51.501	447.10	0.0022366	14.689	34.567	51.501	45.578	55.189	2337.7	-0.47991	68.198	0.30394	447.10	0.0022366	14.689	34.567	51.501	45.578	55.189	2337.7	-0.47991	68.198	0.30394
518.30	555.78	undefined	14.769	34.711	51.655	447.10	0.0022366	14.769	34.711	51.655	45.675	55.276	2339.4	-0.47913	68.148	0.30432	447.10	0.0022366	14.769	34.711	51.655	45.675	55.276	2339.4	-0.47913	68.148	0.30432
520.05	557.56	undefined	14.849	34.855	51.809	447.10	0.0022366	14.849	34.855	51.809	45.772	55.363	2341.1	-0.47836	68.098	0.30469	447.10	0.0022366	14.849	34.855	51.809	45.772	55.363	2341.1	-0.47836	68.098	0.30469
521.79	559.34	undefined	14.929	34.999	51.963	447.10	0.0022366	14.929	34.999	51.963	45.869	55.450	2342.8	-0.47758	68.050	0.30506	447.10	0.0022366	14.929	34.999	51.963	45.869	55.450	2342.8	-0.47758	68.050	0.30506
523.54	561.13	undefined	15.009	35.143	52.117	447.10	0.0022366	15.009	35.143	52.117	45.966	55.536	2344.5	-0.47680	68.002	0.30544	447.10	0.0022366	15.009	35.143	52.117	45.966	55.536	2344.5	-0.47680	68.002	0.30544
525.29	562.91	undefined	15.090	35.288	52.270	447.10	0.0022366	15.090	35.288	52.270	46.063	55.623	2346.1	-0.47603	67.954	0.30581	447.10	0.0022366	15.090	35.288	52.270	46.063	55.623	2346.1	-0.47603	67.954	0.30581
527.04	564.68	undefined	15.170	35.432	52.424	447.10	0.0022366	15.170	35.432	52.424	46.160	55.710	2347.8	-0.47526	67.908	0.30619	447.10	0.0022366	15.170	35.432	52.424	46.160	55.710	2347.8	-0.47526	67.908	0.30619
528.79	566.46	undefined	15.251	35.577	52.577	447.10	0.0022366	15.251	35.577	52.577	46.256	55.797	2349.5	-0.47449	67.861	0.30656	447.10	0.0022366	15.251	35.577	52.577	46.256	55.797	2349.5	-0.47449	67.861	0.30656
530.54	568.23	undefined	15.332	35.721	52.730	447.10	0.0022366	15.332	35.721	52.730	46.353	55.885	2351.2	-0.47372	67.816	0.30694	447.10	0.0022366	15.332	35.721	52.730	46.353	55.885	2351.2	-0.47372	67.816	0.30694
532.29	570.00	undefined	15.413	35.866	52.882	447.10	0.0022366	15.413	35.866	52.882	46.450	55.972	2352.8	-0.47296	67.771	0.30731	447.10	0.0022366	15.413	35.866	52.882	46.450	55.972	2352.8	-0.47296	67.771	0.30731
534.04	571.77	undefined	15.495	36.011	53.035	447.10	0.0022366	15.495	36.011	53.035	46.547	56.059	2354.5	-0.47220	67.726	0.30769	447.10	0.0022366	15.495	36.011	53.035	46.547	56.059	2354.5	-0.47220	67.726	0.30769
535.79	573.54	undefined	15.576	36.156	53.187	447.10	0.0022366	15.576	36.156	53.187	46.644	56.146	2356.1	-0.47144	67.682	0.30807	447.10	0.0022366	15.576	36.156	53.187	46.644	56.146	2356.1	-0.47144	67.682	0.30807
537.54	575.30	undefined	15.658	36.301	53.340	447.10	0.0022366	15.658	36.301	53.340	46.740	56.233	2357.8	-0.47068	67.639	0.30844	447.10	0.0022366	15.658	36.301	53.340	46.740	56.233	2357.8	-0.47068	67.639	0.30844
539.29	577.07	undefined	15.740	36.446	53.492	447.10	0.0022366	15.740	36.446	53.492	46.837	56.321	2359.5	-0.46992	67.596	0.30882	447.10	0.0022366	15.740	36.446	53.492	46.837	56.321	2359.5	-0.46992	67.596	0.30882
541.04	578.83	undefined	15.822	36.591	53.643	447.10	0.0022366	15.822	36.591	53.643	46.934	56.408	2361.1	-0.46916	67.553	0.30920	447.10	0.0022366	15.822	36.591	53.643	46.934	56.408	2361.1	-0.46916	67.553	0.30920
542.79	580.59	undefined	15.904	36.736	53.795	447.10	0.0022366	15.904	36.736	53.795	47.031	56.495	2362.8	-0.46841	67.512	0.30957	447.10	0.0022366	15.904	36.736	53.795	47.031	56.495	2362.8	-0.46841	67.512	0.30957
544.53	582.34	undefined	15.986	36.882	53.947	447.10	0.0022366	15.986	36.882	53.947	47.127	56.583	2364.4	-0.46766	67.470	0.30995	447.10	0.0022366	15.986	36.882	53.947	47.127	56.583	2364.4	-0.46766	67.470	0.30995
546.28	584.10	undefined	16.069	37.027	54.098	447.10	0.0022366	16.069	37.027	54.098	47.224	56.670	2366.0	-0.46691	67.430	0.31033	447.10	0.0022366	16.069	37.027	54.098	47.224	56.670	2366.0	-0.46691	67.430	0.31033
548.03	585.85	undefined	16.151	37.173	54.249	447.10	0.0022366	16.151	37.173	54.249	47.320	56.757	2367.7	-0.46617	67.389	0.31071	447.10	0.0022366	16.151	37.173	54.249	47.320	56.757	2367.7	-0.46617	67.389	0.31071
549.78	587.60	undefined	16.234	37.318	54.400	447.10	0.0022366	16.234	37.318	54.400	47.417	56.845	2369.3	-0.46542	67.350	0.31109	447.10	0.0022366	16.234	37.318	54.400	47.417	56.845	2369.3	-0.46542	67.350	0.31109
551.53	589.35	undefined	16.317	37.464	54.551	447.10	0.0022366	16.317	37.464	54.551	47.514	56.932	2370.9	-0.46468	67.310	0.31147	447.10	0.0022366	16.317	37.464	54.551	47.514	56.932	2370.9	-0.46468	67.310	0.31147
553.28	591.10	undefined	16.400	37.610	54.701	447.10	0.0022366	16.400	37.610	54.701	47.610	57.019	2372.6	-0.46394	67.272	0.31185	447.10	0.0022366	16.400	37.610	54.701	47.610	57.019	2372.6	-0.46394	67.272	0.31185
555.03	592.84	undefined	16.484	37.756	54.852	447.10	0.0022366	16.484	37.756	54.852	47.707	57.107	2374.2	-0.46320	67.233	0.31223	447.10	0.0022366	16.484	37.756	54.852	47.707	57.107	2374.2	-0.46320	67.233	0.31223
556.78	594.58	undefined	16.567	37.902	55.002	447.10	0.0022366	16.567	37.902	55.002	47.803	57.194	2375.8	-0.46246	67.196	0.31261	447.10	0.0022366	16.567	37.902	55.002	47.803	57.194	2375.8	-0.46246	67.196	0.31261
558.53	596.33	undefined	16.651	38.048	55.152	447.10	0.0022366	16.651	38.048	55.152	47.899	57.282	2377.4	-0.46173	67.158	0.31299	447.10	0.0022366	16.651	38.048	55.152	47.899	57.282	2377.4	-0.46173	67.158	0.31299
560.28	598.06	undefined	16.735	38.195	55.302	447.10	0.0022366	16.735	38.195	55.302	47.996	57.369	2379.0	-0.46100	67.122	0.31337	447.10	0.0022366	16.735	38.195	55.302	47.996	57.369	2379.0	-0.46100	67.122	0.31337
562.03	599.80	undefined	16.819	38.341	55.452	447.10	0.0022366	16.819	38.341	55.452	48.092	57.457	2380.7	-0.46027	67.085	0.31375	447.10	0.0022366	16.819	38.341	55.452	48.092	57.457	2380.7	-0.46027	67.085	0.31375
563.78	601.54	undefined	16.903	38.487	55.601	447.10	0.0022366	16.903	38.487	55.601	48.188	57.544	2382.3	-0.45954	67.049	0.31413	447.10	0.0022366	16.903	38.487	55.601	48.188	57.544	2382.3	-0.45954	67.049	0.31413
565.53	603.27	undefined	16.988	38.634	55.751	447.10	0.0022366	16.988	38.634	55.751	48.284	57.632	2383.9	-0.45882	67.014	0.31452	447.10	0.0022366	16.988	38.634	55.751	48.284	57.632	2383.9	-0.45882	67.014	0.31452
567.27	605.00	undefined	17.072	38.781	55.900	447.10	0.0022366	17.072	38.781	55.900	48.381	57.719	2385.5	-0.45809	66.979	0.31490	447.10	0.0022366	17.072	38.781	55.900	48.381	57.719	2385.5	-0.45809	66.979	0.31490
569.02	606.73	undefined	17.157	38.927	56.049	447.10	0.0022366	17.157	38.927	56.049	48.477	57.807	2387.1	-0.45737	66.945	0.31528	447.10	0.0022366	17.157	38.927	56.049	48.477	57.807	2387.1	-0.45737	66.945	0.31528
570.77	608.46	undefined	17.242	39.074	56.198	447.10	0.0022366	17.242	39.074	56.198	48.573	57.894	2388.7	-0.45665	66.910	0.31566	447.10	0.0022366	17.242	39.074	56.198	48.573	57.894	2388.7	-0.45665	66.910	0.31566
572.52	610.18	undefined	17.327	39.221	56.347	447.10	0.0022366	17.327	39.221	56.347	48.669	57.981	2390.3	-0.45594	66.877	0.31605	447.10	0.0022366	17.327	39.221	56.347	48.669	57.981	2390.3	-0.45594	66.877	0.31605
574.27	611.91	undefined	17.412	39.368	56.496	447.10	0.0022366	17.412	39.368	56.496	48.765	58.069	2391.9	-0.45522	66.844	0.31643	447.10	0.0022366	17.412	39.368	56.496	48.765	58.069	2391.9	-0.45522	66.844	0.31643
576.02	613.63	undefined	17.497	39.516	56.644	447.10	0.0022366	17.497	39.516	56.644	48.861	58.156	2393.4	-0.45451	66.811	0.31681	447.10	0.0022366	17.497	39.516	56.644	48.861	58.156	2393.4	-0.45451	66.811	0.31681
577.77	615.35	undefined	17.583	39.663	56.792	447.10	0.0022366	17.583	39.663	56.792	48.956	58.244	2395.0	-0.45380	66.779	0.31720	447.10	0.0022366	17.583	39.663	56.792	48.956	58.244	2395.0	-0.45380	66.779	0.31720
579.52	617.07	undefined	17.669	39.810	56.940	447.10	0.0022366	17.669	39.810	56.940	49.052	58.331	2396.6	-0.45309	66.747	0.31758	447.10	0.0022366	17.669	39.810	56.940	49.052	58.331	2396.6	-0.45309	66.747	0.31758
581.27	618.78	undefined	17.755	39.958	57.088	447.10	0.0022366	17.755	39.958	57.088	49.148	58.418	2398.2	-0.45239	66.715	0.31797	447.10	0.0022366	17.755	39.958	57.088	49.148	58.418	2398.2	-0.45239	66.715	0.31797
583.02	620.50	undefined	17.841	40.105	57.236	447.10	0.0022366	17.841	40.105	57.236	49.244	58.506	2399.8	-0.45169	66.684	0.31835	447.10	0.0022366	17.841	40.105	57.236	49.244	58.506	2399.8	-0.45169	66.684	0.31835
584.77	622.21	undefined	17.927	40.253	57.384	447.10	0.0022366	17.927	40.253	57.384	49.339	58.593	2401.3	-0.45098	66.654	0.31874	447.10	0.0022366	17.927	40.253	57.384	49.339	58.593	2401.3	-0.45098	66.654	0.31874
586.52	623.92	undefined	18.013	40.401	57.531	447.10	0.0022366	18.013	40.401	57.531	49.435	58.680	2402.9	-0.45029	66.623	0.31912	447.10	0.0022366	18.013	40.401	57.531	49.435	58.680	2402.9	-0.45029	66.623	0.31912
588.27	625.63	undefined	18.100	40.549	57.679	447.10	0.0022366	18.100	40.549	57.679	49.530	58.768	2404.5	-0.44959	66.594	0.31951	447.10	0.0022366	18.100	40.549	57.679	49.530	58.768	2404.5	-0.44959	66.594	0.31951
590.02	627.34	undefined	18.186	40.696	57.826	447.10	0.0022366	18.186	40.696	57.826	49.626	58.855	2406.0	-0.44890	66.564	0.31989	447.10	0.0022366	18.186	40.696	57.826	49.626	58.855	2406.0	-0.44890	66.564	0.31989
591.76	629.04	undefined	18.273	40.845	57.973	447.10	0.0022366	18.273	40.845	57.973	49.721	58.942	2407.6	-0.44820	66.535	0.32028	447.10	0.0022366	18.273	40.845	57.973	49.721	58.942	2407.6	-0.44820	66.535	0.32028
593.51	630.75	undefined	18.360	40.993	58.120	447.10	0.0022366	18.360	40.993	58.120	49.816	59.029	2409.2	-0.44751	66.507	0.32066	447.10	0.0022366	18.360	40.993	58.120	49.816	59.029	2409.2	-0.44751	66.507	0.32066
595.26	632.45	undefined	18.448	41.141	58.267	447.10	0.0022366	18.448	41.141	58.267	49.911	59.117	2410.7	-0.44683	66.478	0.32105	447.10	0.0022366	18.448	41.141	58.267	49.911	59.117	2410.7	-0.44683	66.478	0.32105
597.01	634.15	undefined	18.535	41.289	58.413	447.10	0.0022366	18.535	41.289	58.413	50.006	59.204	2412.3	-0.44614	66.450	0.32144	447.10	0.0022366	18.535	41.289	58.413	50.006	59.204	2412.3	-0.44614	66.450	0.32144
598.76	635.85	undefined	18.623	41.438	58.560	447.10	0.0022366	18.623	41.438	58.560	50.101	59.291	2413.8	-0.44546	66.423	0.32182	447.10	0.0022366	18.623	41.438	58.560	50.101	59.291	2413.8	-0.44546	66.423	0.32182
600.51	637.54	undefined	18.710	41.587	58.706	447.10	0.0022366	18.710	41.587	58.706	50.196	59.378	2415.4	-0.44478	66.396	0.32221	447.10	0.0022366	18.710	41.587	58.706	50.196	59.378	2415.4	-0.44478	66.396	0.32221
602.26	639.24	undefined	18.798	41.735	58.852	447.10	0.0022366	18.798	41.735	58.852	50.291	59.465	2416.9	-0.44410	66.369	0.32260	447.10	0.0022366	18.798	41.735	58.852	50.291	59.465	2416.9	-0.44410	66.369	0.32260
604.01	640.93	undefined	18.886	41.884	58.998	447.10	0.0022366	18.886	41.884	58.998	50.386	59.552	2418.5	-0.44342	66.343	0.32299	447.10	0.0022366	18.886	41.884	58.998	50.386	59.552	2418.5	-0.44342	66.343	0.32299
605.76	642.62	undefined	18.974	42.033	59.144	447.10	0.0022366	18.974	42.033	59.144	50.481	59.639	2420.0	-0.44275	66.317	0.32338	447.10	0.0022366	18.974	42.033	59.144	50.481	59.639	2420.0	-0.44275	66.317	0.32338
607.51	644.31	undefined	19.063	42.182	59.290	447.10	0.0022366	19.063	42.182	59.290	50.576	59.726	2421.6	-0.44207	66.291	0.32376	447.10	0.0022366	19.063	42.182	59.290	50.576	59.726	2421.6	-0.44207	66.291	0.32376
609.26	646.00	undefined	19.151	42.331	59.435	447.10	0.0022366	19.151	42.331	59.435	50.670	59.813	2423.1	-0.44140	66.266	0.32415	447.10	0.0022366	19.151	42.331	59.435	50.670	59.813	2423.1	-0.44140	66.266	0.32415
611.01	647.68	undefined	19.240	42.480	59.581	447.10	0.0022366	19.240	42.480	59.581	50.765	59.900	2424.6	-0.44074	66.241	0.32454	447.10	0.0022366	19.240	42.480	59.581	50.765	59.900	2424.6	-0.44074	66.241	0.32454
612.76	649.37	undefined	19.329	42.630	59.726	447.10	0.0022366	19.329	42.630	59.726	50.859	59.986	2426.2	-0.44007	66.216	0.32493	447.10	0.0022366	19.329	42.630	59.726	50.859	59.986	2426.2	-0.44007	66.216	0.32493
614.50	651.05	undefined	19.418	42.779	59.871	447.10	0.0022366	19.418	42.779	59.871	50.954	60.073	2427.7	-0.43941	66.192	0.32532	447.10	0.0022366	19.418	42.779	59.871	50.954	60.073	2427.7	-0.43941	66.192	0.32532
616.25	652.73	undefined	19.507	42.929	60.016	447.10	0.0022366	19.507	42.929	60.016	51.048	60.160	2429.2	-0.43875	66.168	0.32571	447.10	0.0022366	19.507	42.929	60.016	51.048	60.160	2429.2	-0.43875	66.168	0.32571
618.00	654.41	undefined	19.597	43.078	60.161	447.10	0.0022366	19.597	43.078	60.161	51.142	60.247	2430.7	-0.43809	66.144	0.32610	447.10	0.0022366	19.597	43.078	60.161	51.142	60.247	2430.7	-0.43809	66.144	0.32610
619.75	656.09	undefined	19.686	43.228	60.306	447.10	0.0022366	19.686	43.228	60.306	51.236	60.333	2432.3	-0.43743	66.121	0.32649	447.10	0.0022366	19.686	43.228	60.306	51.236	60.333	2432.3	-0.43743	66.121	0.32649
621.50	657.77	undefined	19.776	43.378	60.450	447.10	0.0022366	19.776	43.378	60.450	51.330	60.420	2433.8	-0.43678	66.098	0.32688	447.10	0.0022366	19.776	43.378	60.450	51.330	60.420	2433.8	-0.43678	66.098	0.32688
623.25	659.44	undefined	19.866	43.528	60.595	447.10	0.0022366	19.866	43.528	60.595	51.424	60.506	2435.3	-0.43612	66.075	0.32727	447.10	0.0022366	19.866	43.528	60.595	51.424	60.506	2435.3	-0.43612	66.075	0.32727
625.00	661.11	undefined	19.956	43.678	60.739	447.10	0.0022366	19.956	43.678	60.739	51.518	60.593	2436.8	-0.43547	66.053	0.32766	447.10	0.0022366	19.956	43.678	60.739	51.518	60.593	2436.8	-0.43547	66.053	0.32766
