Temperature (K)	Pressure (MPa)	Quality (l+v)	Internal Energy (l+v, kJ/mol)	Enthalpy (l+v, kJ/mol)	Entropy (l+v, J/mol*K)	Density (l, kg/m3)	Volume (l, m3/kg)	Internal Energy (l, kJ/mol)	Enthalpy (l, kJ/mol)	Entropy (l, J/mol*K)	Cv (l, J/mol*K)	Cp (l, J/mol*K)	Sound Spd. (l, m/s)	Joule-Thomson (l, K/MPa)	Viscosity (l, uPa*s)	Therm. Cond. (l, W/m*K)	Density (v, kg/m3)	Volume (v, m3/kg)	Internal Energy (v, kJ/mol)	Enthalpy (v, kJ/mol)	Entropy (v, J/mol*K)	Cv (v, J/mol*K)	Cp (v, J/mol*K)	Sound Spd. (v, m/s)	Joule-Thomson (v, K/MPa)	Viscosity (v, uPa*s)	Therm. Cond. (v, W/m*K)
348.62	370.16	undefined	7.7908	21.073	35.462	447.10	0.0022366	7.7908	21.073	35.462	36.919	47.887	2149.4	-0.55547	77.545	0.27017	447.10	0.0022366	7.7908	21.073	35.462	36.919	47.887	2149.4	-0.55547	77.545	0.27017
350.37	372.22	undefined	7.8555	21.212	35.647	447.10	0.0022366	7.8555	21.212	35.647	36.994	47.942	2151.7	-0.55483	77.376	0.27050	447.10	0.0022366	7.8555	21.212	35.647	36.994	47.942	2151.7	-0.55483	77.376	0.27050
352.12	374.29	undefined	7.9202	21.350	35.832	447.10	0.0022366	7.9202	21.350	35.832	37.069	47.997	2154.1	-0.55417	77.208	0.27083	447.10	0.0022366	7.9202	21.350	35.832	37.069	47.997	2154.1	-0.55417	77.208	0.27083
353.87	376.34	undefined	7.9851	21.489	36.015	447.10	0.0022366	7.9851	21.489	36.015	37.144	48.053	2156.4	-0.55351	77.043	0.27116	447.10	0.0022366	7.9851	21.489	36.015	37.144	48.053	2156.4	-0.55351	77.043	0.27116
355.62	378.40	undefined	8.0502	21.628	36.199	447.10	0.0022366	8.0502	21.628	36.199	37.220	48.110	2158.7	-0.55284	76.881	0.27149	447.10	0.0022366	8.0502	21.628	36.199	37.220	48.110	2158.7	-0.55284	76.881	0.27149
357.36	380.45	undefined	8.1154	21.766	36.382	447.10	0.0022366	8.1154	21.766	36.382	37.297	48.168	2161.0	-0.55217	76.720	0.27182	447.10	0.0022366	8.1154	21.766	36.382	37.297	48.168	2161.0	-0.55217	76.720	0.27182
359.11	382.49	undefined	8.1807	21.905	36.564	447.10	0.0022366	8.1807	21.905	36.564	37.374	48.226	2163.3	-0.55148	76.562	0.27215	447.10	0.0022366	8.1807	21.905	36.564	37.374	48.226	2163.3	-0.55148	76.562	0.27215
360.86	384.53	undefined	8.2461	22.044	36.746	447.10	0.0022366	8.2461	22.044	36.746	37.452	48.285	2165.6	-0.55080	76.405	0.27248	447.10	0.0022366	8.2461	22.044	36.746	37.452	48.285	2165.6	-0.55080	76.405	0.27248
362.61	386.57	undefined	8.3117	22.183	36.927	447.10	0.0022366	8.3117	22.183	36.927	37.530	48.345	2167.9	-0.55010	76.251	0.27281	447.10	0.0022366	8.3117	22.183	36.927	37.530	48.345	2167.9	-0.55010	76.251	0.27281
364.36	388.61	undefined	8.3774	22.321	37.108	447.10	0.0022366	8.3774	22.321	37.108	37.609	48.405	2170.2	-0.54940	76.099	0.27314	447.10	0.0022366	8.3774	22.321	37.108	37.609	48.405	2170.2	-0.54940	76.099	0.27314
366.11	390.64	undefined	8.4433	22.460	37.288	447.10	0.0022366	8.4433	22.460	37.288	37.688	48.466	2172.4	-0.54869	75.949	0.27348	447.10	0.0022366	8.4433	22.460	37.288	37.688	48.466	2172.4	-0.54869	75.949	0.27348
367.86	392.67	undefined	8.5093	22.599	37.468	447.10	0.0022366	8.5093	22.599	37.468	37.768	48.528	2174.7	-0.54797	75.801	0.27381	447.10	0.0022366	8.5093	22.599	37.468	37.768	48.528	2174.7	-0.54797	75.801	0.27381
369.61	394.69	undefined	8.5754	22.738	37.647	447.10	0.0022366	8.5754	22.738	37.647	37.849	48.590	2176.9	-0.54726	75.655	0.27414	447.10	0.0022366	8.5754	22.738	37.647	37.849	48.590	2176.9	-0.54726	75.655	0.27414
371.36	396.71	undefined	8.6417	22.876	37.826	447.10	0.0022366	8.6417	22.876	37.826	37.929	48.653	2179.1	-0.54653	75.511	0.27448	447.10	0.0022366	8.6417	22.876	37.826	37.929	48.653	2179.1	-0.54653	75.511	0.27448
373.11	398.73	undefined	8.7081	23.015	38.005	447.10	0.0022366	8.7081	23.015	38.005	38.011	48.717	2181.3	-0.54580	75.369	0.27481	447.10	0.0022366	8.7081	23.015	38.005	38.011	48.717	2181.3	-0.54580	75.369	0.27481
374.86	400.74	undefined	8.7747	23.154	38.183	447.10	0.0022366	8.7747	23.154	38.183	38.093	48.781	2183.5	-0.54506	75.228	0.27515	447.10	0.0022366	8.7747	23.154	38.183	38.093	48.781	2183.5	-0.54506	75.228	0.27515
376.61	402.75	undefined	8.8414	23.293	38.360	447.10	0.0022366	8.8414	23.293	38.360	38.175	48.846	2185.7	-0.54432	75.090	0.27549	447.10	0.0022366	8.8414	23.293	38.360	38.175	48.846	2185.7	-0.54432	75.090	0.27549
378.36	404.76	undefined	8.9082	23.432	38.537	447.10	0.0022366	8.9082	23.432	38.537	38.257	48.911	2187.9	-0.54358	74.953	0.27582	447.10	0.0022366	8.9082	23.432	38.537	38.257	48.911	2187.9	-0.54358	74.953	0.27582
380.11	406.76	undefined	8.9752	23.571	38.714	447.10	0.0022366	8.9752	23.571	38.714	38.341	48.977	2190.1	-0.54283	74.818	0.27616	447.10	0.0022366	8.9752	23.571	38.714	38.341	48.977	2190.1	-0.54283	74.818	0.27616
381.85	408.76	undefined	9.0424	23.710	38.890	447.10	0.0022366	9.0424	23.710	38.890	38.424	49.043	2192.2	-0.54207	74.685	0.27650	447.10	0.0022366	9.0424	23.710	38.890	38.424	49.043	2192.2	-0.54207	74.685	0.27650
383.60	410.76	undefined	9.1096	23.848	39.066	447.10	0.0022366	9.1096	23.848	39.066	38.508	49.110	2194.4	-0.54131	74.554	0.27683	447.10	0.0022366	9.1096	23.848	39.066	38.508	49.110	2194.4	-0.54131	74.554	0.27683
