Temperature(K) Pressure(MPa) Hconf(kcal/mol) dHconf Volume(A3) dV V^2(A6) dV^2 V*Hconf(A3*kcal/mol) dV*Hconf Uconf(kcal/mol) dUconf Uconf*Hconf(kcal/mol) dUconf*Hconf rho(kg/m3) drho aP(1/K) daP kT(1/MPa) dkT Cp_id(J/molK) Cp(J/molK) dCp Cv(J/molK) dCv uJT(K/MPa) duJT SS(m/s) dSS
4.6515000000e+02 6.3500000000e+01 2.7382099415e+02 2.6285382838e-01 6.7218930370e+04 1.7864598532e+01 4.5225329810e+09 2.4078369672e+06 1.8464164104e+07 2.2415376425e+04 -3.4054134808e+02 1.2095256462e-01 -9.2878559002e+04 6.2241920943e+01 2.0290763458e+02 5.3926228978e-02 2.0140753158e-03 1.0020442177e-03 9.6097213382e-03 7.8798556319e-03 4.4408625576e+01 5.3215483579e+01 4.4216088228e+00 3.7691391078e+01 1.6283005016e+01 -9.3826957607e-02 6.9954292578e-01 8.5092901449e+02 5.0014540690e+02
5.0515000000e+02 6.3500000000e+01 3.5383509654e+02 2.8750523537e-01 7.2560763955e+04 2.1059129980e+01 5.2701491247e+09 3.0675905668e+06 2.5741734975e+07 2.8212407108e+04 -3.0935012007e+02 1.1720983345e-01 -1.0909797483e+05 5.6302807782e+01 1.8796982580e+02 5.4554014841e-02 1.8260806719e-03 9.7498454111e-04 1.0047462815e-02 8.5585538206e-03 4.6817574679e+01 5.4216391936e+01 4.7359680638e+00 3.9908136150e+01 1.5252251064e+01 -1.2208546684e-01 7.8533697018e-01 8.4812977529e+02 4.9205089715e+02
5.5015000000e+02 6.3500000000e+01 4.3838631438e+02 3.3648716936e-01 7.8560754840e+04 2.5954981700e+01 6.1781159177e+09 4.0957577863e+06 3.4519518670e+07 3.7712326232e+04 -2.7963715142e+02 1.2582334560e-01 -1.2222201937e+05 5.4784384054e+01 1.7361383795e+02 5.7358715506e-02 1.6837530959e-03 1.0041181139e-03 1.0597475403e-02 9.6884237676e-03 4.9529035705e+01 5.6081611190e+01 5.3907696649e+00 4.2482136227e+01 1.5335117086e+01 -1.2140451157e-01 9.2141609122e-01 8.4705905603e+02 5.0802072137e+02
6.0015000000e+02 6.3500000000e+01 5.2618475066e+02 4.7053054191e-01 8.5120308280e+04 3.7693331828e+01 7.2531549252e+09 6.4449156830e+06 4.4881169968e+07 5.9721526033e+04 -2.5179121056e+02 1.6572222446e-01 -1.3213167453e+05 6.6602005031e+01 1.6023478340e+02 7.0955838661e-02 1.5127095775e-03 1.2245267555e-03 1.0900329216e-02 1.2898167579e-02 5.2500438338e+01 5.7879239133e+01 7.2581266878e+00 4.5265452624e+01 1.8256722927e+01 -1.5939481513e-01 1.2906797160e+00 8.5561771295e+02 6.3871385077e+02
4.6515000000e+02 7.3500000000e+01 2.8410370323e+02 2.6928789579e-01 6.1771776681e+04 1.5551819585e+01 3.8187386108e+09 1.9247865983e+06 1.7598063459e+07 2.0889229165e+04 -3.6938291168e+02 1.2771388917e-01 -1.0457463036e+05 6.9405109832e+01 2.2080041878e+02 5.5589274934e-02 1.8250754066e-03 1.0191597130e-03 7.5275723548e-03 6.8568677078e-03 4.4408625576e+01 5.2842733548e+01 4.7707705615e+00 3.7888271849e+01 1.7573401437e+01 -2.0770790664e-01 6.6869455963e-01 9.1603659480e+02 5.9088866558e+02
5.0515000000e+02 7.3500000000e+01 3.6417109438e+02 2.3670799008e-01 6.6302990351e+04 1.4815160100e+01 4.3998208566e+09 1.9670346839e+06 2.4203281423e+07 2.0946435191e+04 -3.3725144923e+02 9.8848472590e-02 -1.2243913265e+05 5.1156236548e+01 2.0571069401e+02 4.5965300358e-02 1.7146459303e-03 7.9493039315e-04 8.0756160899e-03 6.0132786314e-03 4.6817574679e+01 5.4424499021e+01 4.0674778347e+00 4.0082565853e+01 1.3403417906e+01 -1.9179047128e-01 5.8882307160e-01 9.0407236784e+02 4.5866118463e+02
5.5015000000e+02 7.3500000000e+01 4.4906075695e+02 2.6933850133e-01 7.1406394766e+04 1.7796013910e+01 5.1034450640e+09 2.5475536858e+06 3.2132723941e+07 2.7073087450e+04 -3.0635094894e+02 1.0393499729e-01 -1.3719564878e+05 4.8794331276e+01 1.9100858130e+02 4.7603458779e-02 1.5580336359e-03 7.9540498220e-04 8.4292817259e-03 6.6361757723e-03 4.9529035705e+01 5.5921319049e+01 4.4726084493e+00 4.2614866401e+01 1.2960618585e+01 -2.1454293671e-01 6.7366433814e-01 9.0278932207e+02 4.6365108566e+02
6.0015000000e+02 7.3500000000e+01 5.3834309268e+02 3.4850359978e-01 7.7072950503e+04 2.3432119043e+01 5.9460012866e+09 3.6118481293e+06 4.1572702212e+07 3.9035829086e+04 -2.7701538058e+02 1.3688636620e-01 -1.4873588214e+05 5.4698546998e+01 1.7696525268e+02 5.3801895998e-02 1.4685323956e-03 8.8898565313e-04 9.0218819422e-03 8.0004019630e-03 5.2500438338e+01 5.8462739625e+01 5.4988721247e+00 4.5457669506e+01 1.4225346320e+01 -1.8399633848e-01 8.4405670808e-01 8.9751853875e+02 5.0611094810e+02
4.6515000000e+02 8.6500000000e+01 3.0481316941e+02 2.9357104611e-01 5.6662508029e+04 1.4281520006e+01 3.2127571455e+09 1.6206459931e+06 1.7311828864e+07 2.0807736440e+04 -4.0064483551e+02 1.4062650489e-01 -1.2174852029e+05 8.1804958437e+01 2.4071003269e+02 6.0669837376e-02 1.6562329250e-03 1.1080312125e-03 5.8185714417e-03 6.2951901589e-03 4.4408625576e+01 5.2737219415e+01 5.5926533096e+00 3.8122305712e+01 2.0498954814e+01 -2.9016002901e-01 6.7904881189e-01 9.9383377633e+02 7.5501932333e+02
5.0515000000e+02 8.6500000000e+01 3.8449306841e+02 2.5232845355e-01 6.0453982890e+04 1.3264717013e+01 3.6573224096e+09 1.6032112061e+06 2.3292019855e+07 2.0144575656e+04 -3.6816945292e+02 1.0852244979e-01 -1.4117529257e+05 5.9952798391e+01 2.2561349159e+02 4.9503754378e-02 1.5619548805e-03 8.4096350881e-04 6.2575733199e-03 5.3794360468e-03 4.6817574679e+01 5.4287330959e+01 4.6057755276e+00 4.0283164070e+01 1.5193158821e+01 -2.7634117024e-01 5.7831690752e-01 9.7701661789e+02 5.6805545347e+02
