Temperature(K) Pressure(MPa) Hconf(kcal/mol) dHconf Volume(A3) dV V^2(A6) dV^2 V*Hconf(A3*kcal/mol) dV*Hconf Uconf(kcal/mol) dUconf Uconf*Hconf(kcal/mol) dUconf*Hconf rho(kg/m3) drho aP(1/K) daP kT(1/MPa) dkT Cp_id(J/molK) Cp(J/molK) dCp Cv(J/molK) dCv uJT(K/MPa) duJT SS(m/s) dSS
5.5015000000e+02 8.6500000000e+01 4.6964660864e+02 2.4909890736e-01 6.4725293615e+04 1.3880186562e+01 4.1926381292e+09 1.7982763156e+06 3.0454789708e+07 2.2411740056e+04 -3.3619446845e+02 1.0148979701e-01 -1.5749754682e+05 5.0701725505e+01 2.1072494845e+02 4.5189468202e-02 1.4584076033e-03 7.2876865873e-04 6.6604880511e-03 5.1717720531e-03 4.9529035705e+01 5.6185923659e+01 4.3599332811e+00 4.2811104697e+01 1.2867707581e+01 -2.6781802860e-01 5.6308830733e-01 9.6699569412e+02 4.9017309860e+02
6.0015000000e+02 8.6500000000e+01 5.5925890514e+02 3.2159043036e-01 6.9464905780e+04 1.8126274168e+01 4.8294301619e+09 2.5178079942e+06 3.8916108806e+07 3.2008621779e+04 -3.0559116147e+02 1.3668745270e-01 -1.7050172392e+05 5.7308620091e+01 1.9634711956e+02 5.1235104707e-02 1.3524176515e-03 8.1120029626e-04 7.0485437691e-03 6.1881541355e-03 5.2500438338e+01 5.8343585742e+01 5.3088931678e+00 4.5619443920e+01 1.3856935579e+01 -2.6376123946e-01 7.0492857463e-01 9.6130144961e+02 5.3405308959e+02
4.6515000000e+02 1.0000000000e+02 3.3229671832e+02 3.9804907253e-01 5.2802780305e+04 1.6904908507e+01 2.7897302126e+09 1.7819596545e+06 1.7581024842e+07 2.6286139430e+04 -4.2770759216e+02 1.8949484989e-01 -1.4174968279e+05 1.1818341462e+02 2.5830522714e+02 8.2696899791e-02 1.5343374086e-03 1.5030252304e-03 4.7083025437e-03 7.4394933465e-03 4.4408625576e+01 5.2772492222e+01 8.1772382756e+00 3.8327803705e+01 2.9531366694e+01 -3.3694265633e-01 8.6998530338e-01 1.0640157515e+03 1.1733406892e+03
5.0515000000e+02 1.0000000000e+02 4.1161287985e+02 3.0705800046e-01 5.6036795053e+04 1.3890299117e+01 3.1420646944e+09 1.5550244634e+06 2.3106058281e+07 2.2612738817e+04 -3.9493945583e+02 1.3948391053e-01 -1.6217659992e+05 7.7267427964e+01 2.4339782722e+02 6.0333011930e-02 1.4285013688e-03 1.0200846738e-03 4.9697922353e-03 5.6309484127e-03 4.6817574679e+01 5.4131956523e+01 5.9853598117e+00 4.0461037402e+01 1.9603490124e+01 -3.3896755213e-01 6.6241345716e-01 1.0516734019e+03 7.9962580685e+02
5.5015000000e+02 1.0000000000e+02 4.9626370395e+02 2.9957117042e-01 5.9681303941e+04 1.4364119486e+01 3.5643101173e+09 1.7124983733e+06 2.9666606802e+07 2.4614734697e+04 -3.6274500711e+02 1.3111707510e-01 -1.7961482400e+05 6.6395479501e+01 2.2853445316e+02 5.5003761231e-02 1.3634441914e-03 8.7055705999e-04 5.4091806103e-03 5.3465801694e-03 4.9529035705e+01 5.6252298135e+01 5.5488324739e+00 4.2980075759e+01 1.6299411492e+01 -3.1185112600e-01 6.2694922761e-01 1.0289516411e+03 6.6220364099e+02
6.0015000000e+02 1.0000000000e+02 5.8640136304e+02 3.0910527838e-01 6.3754399538e+04 1.5206923430e+01 4.0676056324e+09 1.9384519806e+06 3.7442954949e+07 2.8130020057e+04 -3.3123248466e+02 1.3727714791e-01 -1.9382277851e+05 6.2722227960e+01 2.1393400705e+02 5.1028291191e-02 1.2554303120e-03 7.7770167860e-04 5.6452019515e-03 5.1911046064e-03 5.2500438338e+01 5.8308659206e+01 5.3996610942e+00 4.5743827166e+01 1.4268795177e+01 -3.1708029480e-01 6.2850180444e-01 1.0273552027e+03 5.9543485241e+02
4.6515000000e+02 9.5000000000e+01 3.2187641826e+02 4.0339933380e-01 5.4116851804e+04 1.7968430956e+01 2.9304116999e+09 1.9454874681e+06 1.7455987025e+07 2.7420883636e+04 -4.1809576469e+02 1.8261283262e-01 -1.3419643020e+05 1.1725900702e+02 2.5203303048e+02 8.3682586030e-02 1.5922480869e-03 1.5267990271e-03 5.1160571859e-03 7.9163081873e-03 4.4408625576e+01 5.2920740782e+01 8.0837426785e+00 3.8248629571e+01 2.9407935622e+01 -3.1196099884e-01 8.9727643551e-01 1.0358779578e+03 1.1254366113e+03
4.7015000000e+02 9.5000000000e+01 3.3210064758e+02 3.9027540720e-01 5.4546175335e+04 1.7518468006e+01 2.9771004358e+09 1.9086559127e+06 1.8152379237e+07 2.6847911365e+04 -4.1374193359e+02 1.7468704613e-01 -1.3702608513e+05 1.1141456530e+02 2.5004932200e+02 8.0307757978e-02 1.5676002964e-03 1.4506078489e-03 5.1267085892e-03 7.6296844096e-03 4.4708351853e+01 5.2978367732e+01 7.7530746757e+00 3.8520183115e+01 2.7801613945e+01 -3.1848606728e-01 8.6824579798e-01 1.0357929687e+03 1.0739460212e+03
4.8015000000e+02 9.5000000000e+01 3.5209145012e+02 3.2942214226e-01 5.5394029087e+04 1.5045337029e+01 3.0703881987e+09 1.6616594381e+06 1.9542360542e+07 2.3218871658e+04 -4.0534434408e+02 1.4824300116e-01 -1.4234210274e+05 9.0511236296e+01 2.4622209984e+02 6.6875339042e-02 1.5208583364e-03 1.1823043598e-03 5.1461092531e-03 6.4103015835e-03 4.5309424258e+01 5.3118465666e+01 6.4414881759e+00 3.9057362629e+01 2.2489559923e+01 -3.3088399127e-01 7.3307536511e-01 1.0360203534e+03 8.8591835003e+02
4.9015000000e+02 9.5000000000e+01 3.7169012290e+02 2.8893957601e-01 5.6236755400e+04 1.3409080660e+01 3.1645712625e+09 1.5076965260e+06 2.0943017450e+07 2.1005575341e+04 -3.9726877379e+02 1.3088423140e-01 -1.4728073977e+05 7.5298715505e+01 2.4253238053e+02 5.7829372090e-02 1.5036540685e-03 1.0064694803e-03 5.2516333086e-03 5.6044468544e-03 4.5912065491e+01 5.3553071815e+01 5.5914728242e+00 3.9594797926e+01 1.9026296816e+01 -3.2482250138e-01 6.4066644902e-01 1.0304835569e+03 7.4908998859e+02
5.0015000000e+02 9.5000000000e+01 3.9119773271e+02 3.0888177504e-01 5.7087888974e+04 1.4382133037e+01 3.2611580264e+09 1.6457061757e+06 2.2375230595e+07 2.3134113371e+04 -3.8939922399e+02 1.3567193428e-01 -1.5194562029e+05 7.5725211940e+01 2.3891642177e+02 6.0190135321e-02 1.5003647299e-03 1.0440841016e-03 5.4056457464e-03 5.8983925513e-03 4.6515629773e+01 5.4125187224e+01 5.9074119042e+00 4.0139901360e+01 1.9510757337e+01 -3.0964011684e-01 6.7932879462e-01 1.0217973308e+03 7.5657033813e+02
5.1015000000e+02 9.5000000000e+01 4.1061095886e+02 3.3192872383e-01 5.7947401861e+04 1.5556245231e+01 3.3601558990e+09 1.8036796671e+06 2.3838355272e+07 2.5433782662e+04 -3.8173863322e+02 1.4158834620e-01 -1.5635637308e+05 7.8048966607e+01 2.3537266076e+02 6.3186867986e-02 1.4854360283e-03 1.0852460546e-03 5.5238049769e-03 6.2493792591e-03 4.7119538098e+01 5.4580772559e+01 6.2532872183e+00 4.0691406990e+01 2.0068918945e+01 -3.0245309548e-01 7.2385187574e-01 1.0157136970e+03 7.7443500395e+02
5.2015000000e+02 9.5000000000e+01 4.2975824767e+02 3.1343194363e-01 5.8806755554e+04 1.4960795256e+01 3.4605962996e+09 1.7562469051e+06 2.5318788948e+07 2.4560507768e+04 -3.7434180304e+02 1.3290607879e-01 -1.6048611190e+05 7.2025895565e+01 2.3193311774e+02 5.9005191751e-02 1.4580784416e-03 9.9235841169e-04 5.5924770320e-03 5.8877501679e-03 4.7723272124e+01 5.4923110367e+01 5.8295671526e+00 4.1245999406e+01 1.8262713785e+01 -3.0423904450e-01 6.8047722838e-01 1.0132186119e+03 7.1163545291e+02
5.3015000000e+02 9.5000000000e+01 4.4861458606e+02 2.7954477030e-01 5.9663300010e+04 1.3708202234e+01 3.5621842199e+09 1.6332289982e+06 2.6813682424e+07 2.2520647856e+04 -3.6719751090e+02 1.1921499854e-01 -1.6433679226e+05 6.3192863956e+01 2.2860341546e+02 5.2523776759e-02 1.4361082531e-03 8.6106103944e-04 5.6670878033e-03 5.2940011040e-03 4.8326368377e+01 5.5341485793e+01 5.1621115119e+00 4.1802023074e+01 1.5869602499e+01 -3.0261733081e-01 6.0555715213e-01 1.0108935580e+03 6.2443865809e+02
5.4015000000e+02 9.5000000000e+01 4.6733478220e+02 2.7700584717e-01 6.0522683206e+04 1.3723332753e+01 3.6655996361e+09 1.6623308623e+06 2.8334364218e+07 2.2955442076e+04 -3.6022817679e+02 1.1716202212e-01 -1.6794684009e+05 5.9814420800e+01 2.2535739392e+02 5.1099097749e-02 1.4251509612e-03 8.3050253879e-04 5.7703327778e-03 5.2076170166e-03 4.8928412804e+01 5.5894148105e+01 5.0729984491e+00 4.2359891258e+01 1.5278315534e+01 -2.9318855557e-01 5.9662114122e-01 1.0073245457e+03 5.9833020693e+02
5.5015000000e+02 9.5000000000e+01 4.8600528651e+02 2.9981019650e-01 6.1387796100e+04 1.4706929633e+01 3.7711933980e+09 1.8070999106e+06 2.9886912859e+07 2.5344138295e+04 -3.5338688012e+02 1.2510110828e-01 -1.7134064783e+05 6.0379387581e+01 2.2218152510e+02 5.3228952054e-02 1.4116039662e-03 8.7020492029e-04 5.8589055688e-03 5.4796830919e-03 4.9529035705e+01 5.6430482499e+01 5.4043905497e+00 4.2920543739e+01 1.5887028727e+01 -2.8585397933e-01 6.3869254157e-01 1.0049907241e+03 6.1631823373e+02
5.6015000000e+02 9.5000000000e+01 5.0450868516e+02 3.0874452546e-01 6.2252745331e+04 1.5087499643e+01 3.8782438984e+09 1.8769370030e+06 3.1460791271e+07 2.6541398381e+04 -3.4671045123e+02 1.2887272897e-01 -1.7450888905e+05 5.9289496297e+01 2.1909450078e+02 5.3099476732e-02 1.3844990115e-03 8.6678901282e-04 5.8980801131e-03 5.5166617775e-03 5.0127907074e+01 5.6811597477e+01 5.4755232915e+00 4.3481956224e+01 1.5712206642e+01 -2.8931194358e-01 6.5246741709e-01 1.0055250429e+03 6.1221385950e+02
5.7015000000e+02 9.5000000000e+01 5.2267145327e+02 2.9225260172e-01 6.3110029773e+04 1.4504040766e+01 3.9858163739e+09 1.8277153730e+06 3.3040902043e+07 2.5653533721e+04 -3.4026984765e+02 1.2341859239e-01 -1.7744173255e+05 5.6070200176e+01 2.1611832872e+02 4.9668635259e-02 1.3513319410e-03 7.9708075877e-04 5.9190607388e-03 5.2082020210e-03 5.0724732332e+01 5.7095963049e+01 5.1296485983e+00 4.4039071973e+01 1.4395778644e+01 -2.9842055436e-01 6.1654344988e-01 1.0067263213e+03 5.7083330598e+02
5.8015000000e+02 9.5000000000e+01 5.4048626245e+02 2.7685849876e-01 6.3960345308e+04 1.4160843025e+01 4.0939887853e+09 1.8115265444e+06 3.4626491251e+07 2.5005551426e+04 -3.3408191293e+02 1.1755238047e-01 -1.8016026317e+05 5.4594058291e+01 2.1324516143e+02 4.7212554001e-02 1.3278207928e-03 7.3832766817e-04 5.9788077418e-03 5.0014885037e-03 5.1319248454e+01 5.7460176502e+01 4.8452769817e+00 4.4589646895e+01 1.3340155556e+01 -3.0069014794e-01 5.8516436835e-01 1.0053553058e+03 5.3721327336e+02
5.9015000000e+02 9.5000000000e+01 5.5811031286e+02 2.9390993110e-01 6.4811238848e+04 1.5233097686e+01 4.2037074905e+09 1.9790608411e+06 3.6230879128e+07 2.7266090547e+04 -3.2809264041e+02 1.2345609006e-01 -1.8270266195e+05 5.7148684673e+01 2.1044550918e+02 4.9462671227e-02 1.3166295048e-03 7.6542701689e-04 6.0802099614e-03 5.2950035711e-03 5.1911220474e+01 5.7963585586e+01 5.1118499234e+00 4.5137258708e+01 1.3789452321e+01 -2.9326726253e-01 6.1898203681e-01 1.0017997338e+03 5.5464677858e+02
6.0015000000e+02 9.5000000000e+01 5.7566476030e+02 3.3826452131e-01 6.5667228596e+04 1.7351134029e+01 4.3155452506e+09 2.2843412153e+06 3.7863735640e+07 3.1900024214e+04 -3.2224265435e+02 1.4209311037e-01 -1.8508932593e+05 6.2381897160e+01 2.0770229614e+02 5.4880805166e-02 1.3069021552e-03 8.5399007036e-04 6.1757740400e-03 5.9311933803e-03 5.2500438338e+01 5.8506937296e+01 5.7926359160e+00 4.5687049368e+01 1.5280750707e+01 -2.8470643539e-01 7.0380289610e-01 9.9917320558e+02 6.0838106801e+02
